CNTR_ID,Name,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AR,Argentina,32,17150.34,17507.13,17866.1,18224.15,18579.04,18929.35,19274.53,19614.85,19951.33,20285.53,20619.08,20953.08,21287.68,21621.85,21953.93,22283.39,22608.75,22932.2,23261.27,23605.99,23973.06,24366.44,24782.95,25213.39,25644.51,26066.98,26477.15,26878.57,27277.74,27684.53,28105.89,28543.37,28993.99,29454.74,29920.91,30388.78,30857.24,31326.47,31795.52,32263.56,32729.74,33193.92,33655.15,34110.91,34558.11,34994.82,35419.68,35833.97,36241.58,36648.05,37057.45,37471.54,37889.44,38309.48,38728.78,39145.49,39558.75,39969.9,40381.86,40798.64,41222.88,41655.62,42095.22,42538.3,42980.03,43416.76
AS,American Samoa,16,18.94,19.3,19.54,19.68,19.73,19.71,19.65,19.6,19.61,19.73,20.01,20.48,21.12,21.88,22.7,23.52,24.32,25.12,25.89,26.62,27.29,27.92,28.49,29.01,29.49,29.93,30.33,30.69,31.11,31.67,32.46,33.49,34.74,36.17,37.69,39.25,40.84,42.45,44.05,45.59,47.04,48.38,49.6,50.73,51.81,52.87,53.93,54.94,55.9,56.77,57.52,58.18,58.73,59.12,59.26,59.12,58.65,57.9,57.03,56.23,55.64,55.32,55.23,55.3,55.43,55.54
ASI,ASIA,935,1394017.76,1423856.35,1451914.56,1479107.43,1506179.82,1533706.45,1562084.99,1591542.95,1622158.21,1653893.22,1686697.62,1720617.76,1755892.48,1792994.16,1832512.42,1874811.93,1920059.81,1967979.31,2017922.9,2068979.38,2120430.02,2172129.38,2224091.75,2275960.88,2327361.81,2378065.78,2427877.32,2476930.25,2525755.81,2575112.91,2625583.62,2677174.77,2729792.57,2783775.67,2839511.26,2897176.66,2956960.13,3018518.92,3080826.85,3142492.54,3202474.69,3260422.03,3316482.24,3370737.47,3423450.92,3474848.68,3524866.42,3573473.6,3621000.78,3667887.08,3714469.83,3760897.85,3807164.02,3853257.53,3899107.1,3944669.78,3989937.5,4034976.74,4079895.59,4124831.95,4169860.39,4215002.03,4260153,4305101.59,4349560.52,4393296.01
AT,Austria,40,6936.45,6930.35,6929.29,6932.43,6939.23,6949.48,6963.3,6981.11,7003.58,7031.51,7065.53,7105.65,7151.08,7199.96,7249.86,7298.79,7345.87,7390.85,7433.33,7473.06,7509.75,7543.45,7573.66,7598.93,7617.43,7628.14,7630.54,7625.72,7616.31,7605.89,7597.27,7591.62,7588.96,7589.57,7593.4,7600.51,7610.44,7623.7,7642.48,7669.6,7706.57,7755.14,7813.39,7874.68,7929.91,7972.83,8000.45,8015.26,8023.17,8032.95,8050.88,8078.88,8114.7,8155.47,8196.62,8234.86,8269.37,8301.29,8331.47,8361.36,8391.99,8423.56,8455.48,8486.96,8516.92,8544.59
AU,Australia,36,8177.34,8417.64,8627.05,8821.94,9014.51,9212.82,9420.6,9637.41,9859.26,10079.6,10292.33,10494.91,10691.22,10892.7,11115,11368.01,11657.28,11975.8,12305.53,12621.24,12904.76,13150.59,13364.24,13552.19,13725.4,13892.67,14054.96,14211.66,14368.54,14532.4,14708.32,14898.02,15101.23,15318.25,15548.59,15791.04,16047.03,16314.78,16585.91,16849.25,17096.87,17325.82,17538.39,17738.43,17932.21,18124.77,18318.34,18512.97,18709.18,18906.94,19107.25,19308.68,19514.39,19735.26,19985.48,20274.28,20606.23,20975.95,21370.35,21770.69,22162.86,22542.37,22911.38,23270.47,23622.35,23968.97
AW,Aruba,533,38.07,38.26,38.97,40.15,41.76,43.73,45.93,48.24,50.5,52.54,54.21,55.44,56.23,56.7,57.03,57.36,57.71,58.05,58.39,58.72,59.07,59.44,59.85,60.24,60.53,60.66,60.59,60.37,60.11,59.98,60.1,60.57,61.34,62.2,62.83,63.03,62.64,61.84,61.08,61.03,62.15,64.62,68.24,72.5,76.7,80.33,83.2,85.45,87.28,89,90.86,92.89,95,97.02,98.74,100.03,100.83,101.22,101.34,101.42,101.6,101.94,102.39,102.92,103.44,103.89
AZ,Azerbaijan,31,2896,2965.34,3045.43,3133.7,3228.23,3327.73,3431.6,3539.86,3653.08,3772.19,3897.89,4030.13,4167.56,4307.32,4445.65,4579.76,4708.49,4832.1,4950.98,5066.08,5178.16,5287.27,5393.18,5496.06,5596.16,5693.8,5789.05,5882.4,5975.05,6068.53,6163.99,6261.94,6362.29,6464.78,6568.86,6674.11,6779.97,6886.43,6994.14,7104.06,7216.5,7332.52,7450.92,7567.16,7675.13,7770.81,7852.29,7921.79,7984.53,8048,8117.74,8195.65,8280.6,8371.54,8466.3,8563.4,8662.14,8763.36,8868.71,8980.49,9099.89,9227.51,9361.48,9497.5,9629.78,9753.97
BA,Bosnia and Herzegovina,70,2661.29,2709.91,2763.3,2819.11,2875.64,2931.85,2987.35,3042.43,3097.88,3154.9,3214.52,3277.1,3341.81,3406.47,3468.08,3524.6,3574.97,3620,3661.64,3702.83,3745.64,3790.95,3838,3885.23,3930.28,3971.61,4008.41,4041.62,4073.48,4107.14,4144.73,4185.07,4226.66,4270.6,4318.3,4369.53,4428.46,4491.75,4542.76,4559.26,4527,4437.9,4301.17,4141.17,3992.26,3879.28,3810.65,3779.35,3775.9,3784.39,3792.88,3799.75,3808.35,3817.31,3825.87,3833.38,3838.5,3840.42,3839.75,3837.73,3835.26,3832.31,3828.42,3823.53,3817.55,3810.42
BB,Barbados,52,211,215.7,219.64,222.81,225.26,227.08,228.35,229.21,229.83,230.35,230.93,231.67,232.58,233.59,234.55,235.37,236.04,236.62,237.2,237.91,238.85,240.04,241.44,242.98,244.54,246.03,247.44,248.79,250.04,251.18,252.2,253.08,253.84,254.52,255.2,255.93,256.74,257.61,258.52,259.45,260.37,261.28,262.18,263.09,264.02,264.96,265.94,266.94,267.95,268.92,269.84,270.69,271.48,272.26,273.09,274.01,275.04,276.15,277.32,278.47,279.57,280.6,281.58,282.5,283.38,284.22
BD,Bangladesh,50,37894.68,38706.93,39493.33,40302.27,41170.31,42122.17,43170.26,44315.15,45547.04,46848.27,48200.7,49593.61,51030.6,52532.6,54129.39,55835.02,57675.53,59625.29,61585.52,63422.57,65048.7,66417.45,67578.49,68658.47,69837.96,71247.15,72930.21,74848.47,76948.38,79141.95,81364.18,83599.58,85868.23,88181.21,90559.54,93015.18,95550.8,98149.26,100779.55,103400.57,105983.14,108509.68,110987.46,113442.35,115913.71,118427.77,120987.12,123574.11,126169.58,128746.27,131280.74,133776.06,136228.46,138600.17,140843.79,142929.98,144839.24,146592.69,148252.47,149905.84,151616.78,153405.61,155257.39,157157.39,159077.51,160995.64
