DECADE,COUNTRY_ID,EVENT,Revolution,CivilWars,
1990s,SV,Salvadoran Civil War,,1,
1980s,SD,Second Sudanese Civil War,,1,
1990s,SD,Second Sudanese Civil War,,1,
2000s,SD,Second Sudanese Civil War,,1,
1980s,LK,Sri Lankan Civil War,,1,
1990s,LK,Sri Lankan Civil War,,1,
2000s,LK,Sri Lankan Civil War,,1,
1980s,YE,South Yemen Civil War,,1,
1980s,LR,First Liberian Civil War,,1,
1990s,LR,First Liberian Civil War,,1,
1990s,RW,Rwandan Civil War,,1,
1990s,SN,Casamance Conflict,,1,
2000s,SN,Casamance Conflict,,1,
1990s,BA,Yugoslav Wars,,1,
1990s,HR,Yugoslav Wars,,1,
1990s,ME,Yugoslav Wars,,1,
1990s,MK,Yugoslav Wars,,1,
1990s,RS,Yugoslav Wars,,1,
1990s,GE,Georgian Civil War,,1,
1990s,SL,Sierra Leone Civil War,,1,
2000s,SL,Sierra Leone Civil War,,1,
1990s,DZ,Algerian Civil War,,1,
2000s,DZ,Algerian Civil War,,1,
1990s,TJ,Civil War in Tadjikistan,,1,
1990s,BI,Burundi Civil War,,1,
2000s,BI,Burundi Civil War,,1,
1990s,YE,Civil War in Yemen,,1,
1990s,RU,First Chechen War,,1,
1990s,IQ,Iraqi Kurdish Civil War,,1,
1990s,CD,First Congo War,,1,
1990s,NP,Nepalese Civil War,,1,
2000s,NP,Nepalese Civil War,,1,
1990s,GW,Guinea-Bissau Civil War,,1,
1990s,CD,Second Congo War,,1,
2000s,CD,Second Congo War,,1,
1990s,LR,Second Liberian War,,1,
2000s,LR,Second Liberian War,,1,
2000s,RU,Second Chechen War,,1,
2000s,CI,First Ivorian Civil War,,1,
2000s,IQ,Iraqi War,,1,
2010s,IQ,Iraqi War,,1,
2000s,TD,Fourth Chadian Civil War,,1,
2010s,TD,Fourth Chadian Civil War,,1,
2000s,CI,Second Ivorian Civil War,,1,
2000s,LY,Lybian Civil War,,1,
2010s,LY,Lybian Civil War,,1,
2010s,ML,Mali Conflict,,1,
1940s,IL,Israel Palestinian Conflict,,1,
1950s,IL,Israel Palestinian Conflict,,1,
1960s,IL,Israel Palestinian Conflict,,1,
