DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1807,7,DK,Gunboat War,w_040
1807,7,NO,Gunboat War,w_040
1807,5,RU,Anglo-Russian War,w_041
1807,5,UK,Anglo-Russian War,w_041
1807,2,TR,Anglo-Turkish War,w_041
1807,2,UK,Anglo-Turkish War,w_041
1808,1,SE,Finnish War,w_042
1808,1,RU,Finnish War,w_042
1808,1,DK,Dano-Swedish War ,w_043
1808,1,NO,Dano-Swedish War ,w_043
1808,1,FR,Dano-Swedish War ,w_043
1808,1,SE,Dano-Swedish War ,w_043
1808,1,UK,Dano-Swedish War ,w_043
1809,1,FR,War of the Fifth Coalition,w_044
1809,1,PL,War of the Fifth Coalition,w_044
1809,1,IT,War of the Fifth Coalition,w_044
1809,1,CH,War of the Fifth Coalition,w_044
1809,1,NL,War of the Fifth Coalition,w_044
1809,1,AT,War of the Fifth Coalition,w_044
1809,1,DE,War of the Fifth Coalition,w_044
1809,1,UK,War of the Fifth Coalition,w_044
1809,3,MM,Burmese-Siamese War,w_045
1809,3,TH,Burmese-Siamese War,w_045
1810,10,IN,Punjab War,w_046
1810,10,UK,Punjab War,w_046
1811,7,TR,Egyptian-Wahhabi War,w_047
1811,7,SA,Egyptian-Wahhabi War,w_047
1811,7,EG,Egyptian-Wahhabi War,w_047
1812,0,RU,French Invasion of Russia,w_048
1812,0,FR,French Invasion of Russia,w_048
1812,0,IT,French Invasion of Russia,w_048
1812,0,PL,French Invasion of Russia,w_048
1812,0,DE,French Invasion of Russia,w_048
1812,0,ES,French Invasion of Russia,w_048
1812,0,CH,French Invasion of Russia,w_048
1812,2,RU,War of the Sixth Coalition,w_049
1812,2,DE,War of the Sixth Coalition,w_049
1812,2,AT,War of the Sixth Coalition,w_049
1812,2,SE,War of the Sixth Coalition,w_049
1812,2,UK,War of the Sixth Coalition,w_049
1812,2,ES,War of the Sixth Coalition,w_049
1812,2,PT,War of the Sixth Coalition,w_049
1812,2,IT,War of the Sixth Coalition,w_049
1812,2,FR,War of the Sixth Coalition,w_049
1812,2,PL,War of the Sixth Coalition,w_049
1812,2,DK,War of the Sixth Coalition,w_049
1812,2,NO,War of the Sixth Coalition,w_049
1812,2,CH,War of the Sixth Coalition,w_049
1812,3,UK,War of 1812,w_050
1812,3,CA,War of 1812,w_050
1812,3,UK,War of 1812,w_050
1812,3,ES,War of 1812,w_050
1813,24,AF,Afghan-Sikh Wars,w_051
1813,24,IN,Afghan-Sikh Wars,w_051
1814,2,UK,Anglo-Nepalese War,w_052
1814,2,NP,Anglo-Nepalese War,w_052
1824,2,UK,First Anglo-Burmese War,w_053
1824,2,MM,First Anglo-Burmese War,w_053
1821,2,TR,Ottoman-Persian Wars,w_054
1821,2,IR,Ottoman-Persian Wars,w_054
1826,2,RU,Russo-Persian War,w_055
1826,2,IR,Russo-Persian War,w_055
1826,2,TH,Siamese-Lao War,w_056
1826,2,LA,Siamese-Lao War,w_056
1828,1,CO,Gran Colombia-Peru War,w_057
1828,1,PE,Gran Colombia-Peru War,w_057
1828,1,RU,Russo-Turkish War,w_058
1828,1,TR,Russo-Turkish War,w_058
1831,3,TH,Siamese-Vietnamese War,w_059
1831,3,VN,Siamese-Vietnamese War,w_059
1831,2,EG,Egyptian-Ottoman War,w_060
1831,2,RU,Egyptian-Ottoman War,w_060
1831,2,TR,Egyptian-Ottoman War,w_060
1833,7,FR,First Carlist War,w_061
1833,7,PT,First Carlist War,w_061
1833,7,ES,First Carlist War,w_061
1833,7,UK,First Carlist War,w_061
1836,3,PE,War of the confederation,w_062
1836,3,BO,War of the confederation,w_062
1836,3,AR,War of the confederation,w_062
1836,3,CL,War of the confederation,w_062
1838,1,FR,Pastry War,w_063
1838,1,MX,Pastry War,w_063
1839,2,EG,Egyptian-Ottoman War,w_064
1839,2,FR,Egyptian-Ottoman War,w_064
1839,2,ES,Egyptian-Ottoman War,w_064
1839,2,UK,Egyptian-Ottoman War,w_064
1839,2,AT,Egyptian-Ottoman War,w_064
1839,2,RU,Egyptian-Ottoman War,w_064
1839,2,DE,Egyptian-Ottoman War,w_064
1839,2,TR,Egyptian-Ottoman War,w_064
1839,3,UK,First Anglo-Afghan War,w_065
1839,3,AF,First Anglo-Afghan War,w_065
1839,3,CN,First Opium War,w_066
1839,3,UK,First Opium War,w_066
1841,4,TH,Siamese-Vietnamese War,w_067
1841,4,VN,Siamese-Vietnamese War,w_067
1841,1,CN,Sino-Sikh War,w_068
1841,1,IN,Sino-Sikh War,w_068
1844,0,FR,Franco-Moroccan War,w_069
1844,0,MA,Franco-Moroccan War,w_069
1846,2,US,Mexican-American War,w_070
1846,2,MX,Mexican-American War,w_070
1848,1,UK,Second Anglo-Sikh War,w_071
1848,1,IN,Second Anglo-Sikh War,w_071
1848,3,DK,First Schleswig War,w_072
1848,3,DE,First Schleswig War,w_072
1849,6,TH,Burmese-Siamese War,w_073
