"","i","j","cosSimEs"
"279","Bat01Urb","Knu01Ame",1
"280","Bat01Urb","Kra98Urb",1
"281","Bat01Urb","Kru96Jou",1
"282","Bat01Urb","Kum14Jou",1
"284","Bat01Urb","Li_16Wor",1
"286","Bat01Urb","Mal80Env",1
"287","Bat01Urb","Man16Reg",1
"288","Bat01Urb","Mir86Urb",1
"291","Bat01Urb","Mor13Tow",1
"292","Bat01Urb","Nau03Jou",1
"293","Bat01Urb","Nis08Jou",1
"294","Bat01Urb","Oka79Reg",1
"295","Bat01Urb","Par83Jou",1
"296","Bat01Urb","Par85Jou",1
"298","Bat01Urb","Pop74Sov",1
"299","Bat01Urb","Pum15Cyb",1
"300","Bat01Urb","Ros80Jou",1
"301","Bat01Urb","Roz11Ame",1
"303","Bat01Urb","She12Com",1
"304","Bat01Urb","Son02Urb",1
"307","Bat01Urb","Sua80Jou",1
"309","Bat01Urb","XuZ09Urb",1
"310","Bat01Urb","Ziq16Asi",1
"311","Ber12Cit","Bla03Jou",1
"312","Ber12Cit","Bos08Reg",1
"313","Ber12Cit","Bra99Jou",1
"314","Ber12Cit","Bre00Cyb",1
"315","Ber12Cit","Bre15Int",1
"316","Ber12Cit","Cam90Jou",1
"318","Ber12Cit","Cra05Con",1
"319","Ber12Cit","Del04Con",1
"322","Ber12Cit","Eec04The",1
"323","Ber12Cit","Ett87Env",1
"327","Ber12Cit","Gab99Qua",1
"328","Ber12Cit","Gan06Eco",1
"330","Ber12Cit","Gie10Jou",1
"331","Ber12Cit","Gon10Jou",1
"332","Ber12Cit","Gue95Urb",1
"333","Ber12Cit","Gul12Age",1
"335","Ber12Cit","Ign15Dis",1
"336","Ber12Cit","Iye13Eur",1
"337","Ber12Cit","Kam90Jou",1
"338","Ber12Cit","Knu01Ame",1
"339","Ber12Cit","Kra98Urb",1
"340","Ber12Cit","Kru96Jou",1
"341","Ber12Cit","Kum14Jou",1
"343","Ber12Cit","Li_16Wor",1
"345","Ber12Cit","Mal80Env",1
"346","Ber12Cit","Man16Reg",1
"347","Ber12Cit","Mir86Urb",1
"350","Ber12Cit","Mor13Tow",1
"351","Ber12Cit","Nau03Jou",1
"352","Ber12Cit","Nis08Jou",1
"353","Ber12Cit","Oka79Reg",1
"354","Ber12Cit","Par83Jou",1
"355","Ber12Cit","Par85Jou",1
"357","Ber12Cit","Pop74Sov",1
"358","Ber12Cit","Pum15Cyb",1
"359","Ber12Cit","Ros80Jou",1
"360","Ber12Cit","Roz11Ame",1
"362","Ber12Cit","She12Com",1
"363","Ber12Cit","Son02Urb",1
"366","Ber12Cit","Sua80Jou",1
"368","Ber12Cit","XuZ09Urb",1
"369","Ber12Cit","Ziq16Asi",1
"370","Bla03Jou","Bos08Reg",1
"371","Bla03Jou","Bra99Jou",1
"372","Bla03Jou","Bre00Cyb",1
"373","Bla03Jou","Bre15Int",1
"374","Bla03Jou","Cam90Jou",1
"376","Bla03Jou","Cra05Con",1
"377","Bla03Jou","Del04Con",1
"380","Bla03Jou","Eec04The",1
"381","Bla03Jou","Ett87Env",1
"385","Bla03Jou","Gab99Qua",1
"386","Bla03Jou","Gan06Eco",1
"388","Bla03Jou","Gie10Jou",1
"389","Bla03Jou","Gon10Jou",1
"390","Bla03Jou","Gue95Urb",1
"391","Bla03Jou","Gul12Age",1
"393","Bla03Jou","Ign15Dis",1
"394","Bla03Jou","Iye13Eur",1
"395","Bla03Jou","Kam90Jou",1
"396","Bla03Jou","Knu01Ame",1
"397","Bla03Jou","Kra98Urb",1
"398","Bla03Jou","Kru96Jou",1
"399","Bla03Jou","Kum14Jou",1
"401","Bla03Jou","Li_16Wor",1
"403","Bla03Jou","Mal80Env",1
"404","Bla03Jou","Man16Reg",1
"405","Bla03Jou","Mir86Urb",1
"408","Bla03Jou","Mor13Tow",1
"409","Bla03Jou","Nau03Jou",1
"410","Bla03Jou","Nis08Jou",1
"411","Bla03Jou","Oka79Reg",1
"412","Bla03Jou","Par83Jou",1
"413","Bla03Jou","Par85Jou",1
"415","Bla03Jou","Pop74Sov",1
"416","Bla03Jou","Pum15Cyb",1
"417","Bla03Jou","Ros80Jou",1
"418","Bla03Jou","Roz11Ame",1
"420","Bla03Jou","She12Com",1
"421","Bla03Jou","Son02Urb",1
"424","Bla03Jou","Sua80Jou",1
"426","Bla03Jou","XuZ09Urb",1
"427","Bla03Jou","Ziq16Asi",1
"428","Bos08Reg","Bra99Jou",1
"429","Bos08Reg","Bre00Cyb",1
"430","Bos08Reg","Bre15Int",1
"431","Bos08Reg","Cam90Jou",1
"433","Bos08Reg","Cra05Con",1
"434","Bos08Reg","Del04Con",1
"437","Bos08Reg","Eec04The",1
"438","Bos08Reg","Ett87Env",1
"442","Bos08Reg","Gab99Qua",1
"443","Bos08Reg","Gan06Eco",1
"445","Bos08Reg","Gie10Jou",1
"446","Bos08Reg","Gon10Jou",1
"447","Bos08Reg","Gue95Urb",1
"448","Bos08Reg","Gul12Age",1
"450","Bos08Reg","Ign15Dis",1
"451","Bos08Reg","Iye13Eur",1
"452","Bos08Reg","Kam90Jou",1
"453","Bos08Reg","Knu01Ame",1
"454","Bos08Reg","Kra98Urb",1
"455","Bos08Reg","Kru96Jou",1
"456","Bos08Reg","Kum14Jou",1
"458","Bos08Reg","Li_16Wor",1
"460","Bos08Reg","Mal80Env",1
"461","Bos08Reg","Man16Reg",1
"462","Bos08Reg","Mir86Urb",1
"465","Bos08Reg","Mor13Tow",1
"466","Bos08Reg","Nau03Jou",1
"467","Bos08Reg","Nis08Jou",1
"468","Bos08Reg","Oka79Reg",1
"469","Bos08Reg","Par83Jou",1
"470","Bos08Reg","Par85Jou",1
"472","Bos08Reg","Pop74Sov",1
"473","Bos08Reg","Pum15Cyb",1
"474","Bos08Reg","Ros80Jou",1
"475","Bos08Reg","Roz11Ame",1
"477","Bos08Reg","She12Com",1
"478","Bos08Reg","Son02Urb",1
"481","Bos08Reg","Sua80Jou",1
"483","Bos08Reg","XuZ09Urb",1
"484","Bos08Reg","Ziq16Asi",1
"485","Bra99Jou","Bre00Cyb",1
"486","Bra99Jou","Bre15Int",1
"487","Bra99Jou","Cam90Jou",1
"489","Bra99Jou","Cra05Con",1
"490","Bra99Jou","Del04Con",1
"493","Bra99Jou","Eec04The",1
"494","Bra99Jou","Ett87Env",1
"498","Bra99Jou","Gab99Qua",1
"499","Bra99Jou","Gan06Eco",1
"501","Bra99Jou","Gie10Jou",1
"502","Bra99Jou","Gon10Jou",1
"503","Bra99Jou","Gue95Urb",1
"504","Bra99Jou","Gul12Age",1
"506","Bra99Jou","Ign15Dis",1
"507","Bra99Jou","Iye13Eur",1
"508","Bra99Jou","Kam90Jou",1
"509","Bra99Jou","Knu01Ame",1
"510","Bra99Jou","Kra98Urb",1
"511","Bra99Jou","Kru96Jou",1
"512","Bra99Jou","Kum14Jou",1
"514","Bra99Jou","Li_16Wor",1
"516","Bra99Jou","Mal80Env",1
"517","Bra99Jou","Man16Reg",1
"518","Bra99Jou","Mir86Urb",1
"521","Bra99Jou","Mor13Tow",1
"522","Bra99Jou","Nau03Jou",1
"523","Bra99Jou","Nis08Jou",1
"524","Bra99Jou","Oka79Reg",1
"525","Bra99Jou","Par83Jou",1
"526","Bra99Jou","Par85Jou",1
"528","Bra99Jou","Pop74Sov",1
"529","Bra99Jou","Pum15Cyb",1
"530","Bra99Jou","Ros80Jou",1
"531","Bra99Jou","Roz11Ame",1
"533","Bra99Jou","She12Com",1
"534","Bra99Jou","Son02Urb",1
"537","Bra99Jou","Sua80Jou",1
"539","Bra99Jou","XuZ09Urb",1
"540","Bra99Jou","Ziq16Asi",1
"541","Bre00Cyb","Bre15Int",1
"542","Bre00Cyb","Cam90Jou",1
"544","Bre00Cyb","Cra05Con",1
"545","Bre00Cyb","Del04Con",1
"548","Bre00Cyb","Eec04The",1
"549","Bre00Cyb","Ett87Env",1
"553","Bre00Cyb","Gab99Qua",1
"554","Bre00Cyb","Gan06Eco",1
"556","Bre00Cyb","Gie10Jou",1
"557","Bre00Cyb","Gon10Jou",1
"558","Bre00Cyb","Gue95Urb",1
"559","Bre00Cyb","Gul12Age",1
"561","Bre00Cyb","Ign15Dis",1
"562","Bre00Cyb","Iye13Eur",1
"563","Bre00Cyb","Kam90Jou",1
"564","Bre00Cyb","Knu01Ame",1
"565","Bre00Cyb","Kra98Urb",1
"566","Bre00Cyb","Kru96Jou",1
"567","Bre00Cyb","Kum14Jou",1
"569","Bre00Cyb","Li_16Wor",1
"571","Bre00Cyb","Mal80Env",1
"572","Bre00Cyb","Man16Reg",1
"573","Bre00Cyb","Mir86Urb",1
"576","Bre00Cyb","Mor13Tow",1
"577","Bre00Cyb","Nau03Jou",1
"578","Bre00Cyb","Nis08Jou",1
"579","Bre00Cyb","Oka79Reg",1
"580","Bre00Cyb","Par83Jou",1
"581","Bre00Cyb","Par85Jou",1
"583","Bre00Cyb","Pop74Sov",1
"584","Bre00Cyb","Pum15Cyb",1
"585","Bre00Cyb","Ros80Jou",1
"586","Bre00Cyb","Roz11Ame",1
"588","Bre00Cyb","She12Com",1
"589","Bre00Cyb","Son02Urb",1
"592","Bre00Cyb","Sua80Jou",1
"594","Bre00Cyb","XuZ09Urb",1
"595","Bre00Cyb","Ziq16Asi",1
"596","Bre15Int","Cam90Jou",1
"598","Bre15Int","Cra05Con",1
"599","Bre15Int","Del04Con",1
"602","Bre15Int","Eec04The",1
"603","Bre15Int","Ett87Env",1
"607","Bre15Int","Gab99Qua",1
"608","Bre15Int","Gan06Eco",1
"610","Bre15Int","Gie10Jou",1
"611","Bre15Int","Gon10Jou",1
"612","Bre15Int","Gue95Urb",1
"613","Bre15Int","Gul12Age",1
"615","Bre15Int","Ign15Dis",1
"616","Bre15Int","Iye13Eur",1
"617","Bre15Int","Kam90Jou",1
"618","Bre15Int","Knu01Ame",1
"619","Bre15Int","Kra98Urb",1
"620","Bre15Int","Kru96Jou",1
"621","Bre15Int","Kum14Jou",1
"623","Bre15Int","Li_16Wor",1
"625","Bre15Int","Mal80Env",1
"626","Bre15Int","Man16Reg",1
"627","Bre15Int","Mir86Urb",1
"630","Bre15Int","Mor13Tow",1
"631","Bre15Int","Nau03Jou",1
"632","Bre15Int","Nis08Jou",1
"633","Bre15Int","Oka79Reg",1
"634","Bre15Int","Par83Jou",1
"635","Bre15Int","Par85Jou",1
"637","Bre15Int","Pop74Sov",1
"638","Bre15Int","Pum15Cyb",1
"639","Bre15Int","Ros80Jou",1
"640","Bre15Int","Roz11Ame",1
"642","Bre15Int","She12Com",1
"643","Bre15Int","Son02Urb",1
"646","Bre15Int","Sua80Jou",1
"648","Bre15Int","XuZ09Urb",1
"649","Bre15Int","Ziq16Asi",1
"651","Cam90Jou","Cra05Con",1
"652","Cam90Jou","Del04Con",1
"655","Cam90Jou","Eec04The",1
"656","Cam90Jou","Ett87Env",1
"660","Cam90Jou","Gab99Qua",1
"661","Cam90Jou","Gan06Eco",1
"663","Cam90Jou","Gie10Jou",1
"664","Cam90Jou","Gon10Jou",1
"665","Cam90Jou","Gue95Urb",1
"666","Cam90Jou","Gul12Age",1
"668","Cam90Jou","Ign15Dis",1
"669","Cam90Jou","Iye13Eur",1
"670","Cam90Jou","Kam90Jou",1
"671","Cam90Jou","Knu01Ame",1
"672","Cam90Jou","Kra98Urb",1
"673","Cam90Jou","Kru96Jou",1
"674","Cam90Jou","Kum14Jou",1
"676","Cam90Jou","Li_16Wor",1
"678","Cam90Jou","Mal80Env",1
"679","Cam90Jou","Man16Reg",1
"680","Cam90Jou","Mir86Urb",1
"683","Cam90Jou","Mor13Tow",1
"684","Cam90Jou","Nau03Jou",1
"685","Cam90Jou","Nis08Jou",1
"686","Cam90Jou","Oka79Reg",1
"687","Cam90Jou","Par83Jou",1
"688","Cam90Jou","Par85Jou",1
"690","Cam90Jou","Pop74Sov",1
"691","Cam90Jou","Pum15Cyb",1
"692","Cam90Jou","Ros80Jou",1
"693","Cam90Jou","Roz11Ame",1
"695","Cam90Jou","She12Com",1
"696","Cam90Jou","Son02Urb",1
"699","Cam90Jou","Sua80Jou",1
"701","Cam90Jou","XuZ09Urb",1
"702","Cam90Jou","Ziq16Asi",1
"755","Cra05Con","Del04Con",1
"758","Cra05Con","Eec04The",1
"759","Cra05Con","Ett87Env",1
"763","Cra05Con","Gab99Qua",1
"764","Cra05Con","Gan06Eco",1
"766","Cra05Con","Gie10Jou",1
"767","Cra05Con","Gon10Jou",1
"768","Cra05Con","Gue95Urb",1
"769","Cra05Con","Gul12Age",1
"771","Cra05Con","Ign15Dis",1
"772","Cra05Con","Iye13Eur",1
"773","Cra05Con","Kam90Jou",1
"774","Cra05Con","Knu01Ame",1
"775","Cra05Con","Kra98Urb",1
"776","Cra05Con","Kru96Jou",1
"777","Cra05Con","Kum14Jou",1
"779","Cra05Con","Li_16Wor",1
"781","Cra05Con","Mal80Env",1
"782","Cra05Con","Man16Reg",1
"783","Cra05Con","Mir86Urb",1
"786","Cra05Con","Mor13Tow",1
"787","Cra05Con","Nau03Jou",1
"788","Cra05Con","Nis08Jou",1
"789","Cra05Con","Oka79Reg",1
"790","Cra05Con","Par83Jou",1
"791","Cra05Con","Par85Jou",1
"793","Cra05Con","Pop74Sov",1
"794","Cra05Con","Pum15Cyb",1
"795","Cra05Con","Ros80Jou",1
"796","Cra05Con","Roz11Ame",1
"798","Cra05Con","She12Com",1
"799","Cra05Con","Son02Urb",1
"802","Cra05Con","Sua80Jou",1
"804","Cra05Con","XuZ09Urb",1
"805","Cra05Con","Ziq16Asi",1
"808","Del04Con","Eec04The",1
"809","Del04Con","Ett87Env",1
"813","Del04Con","Gab99Qua",1
"814","Del04Con","Gan06Eco",1
"816","Del04Con","Gie10Jou",1
"817","Del04Con","Gon10Jou",1
"818","Del04Con","Gue95Urb",1
"819","Del04Con","Gul12Age",1
"821","Del04Con","Ign15Dis",1
"822","Del04Con","Iye13Eur",1
"823","Del04Con","Kam90Jou",1
"824","Del04Con","Knu01Ame",1
"825","Del04Con","Kra98Urb",1
"826","Del04Con","Kru96Jou",1
"827","Del04Con","Kum14Jou",1
"829","Del04Con","Li_16Wor",1
"831","Del04Con","Mal80Env",1
"832","Del04Con","Man16Reg",1
"833","Del04Con","Mir86Urb",1
"836","Del04Con","Mor13Tow",1
"837","Del04Con","Nau03Jou",1
"838","Del04Con","Nis08Jou",1
"839","Del04Con","Oka79Reg",1
"840","Del04Con","Par83Jou",1
"841","Del04Con","Par85Jou",1
"843","Del04Con","Pop74Sov",1
"844","Del04Con","Pum15Cyb",1
"845","Del04Con","Ros80Jou",1
"846","Del04Con","Roz11Ame",1
"848","Del04Con","She12Com",1
"849","Del04Con","Son02Urb",1
"852","Del04Con","Sua80Jou",1
"854","Del04Con","XuZ09Urb",1
"855","Del04Con","Ziq16Asi",1
"908","Dim09Urb","Faz15Jou",1
"909","Dim09Urb","Gab11Jou",1
"931","Dim09Urb","Mod15Qua",1
"939","Dim09Urb","Pen10Phy",1
"944","Dim09Urb","Sch12Reg",1
"953","Eec04The","Ett87Env",1
"957","Eec04The","Gab99Qua",1
"958","Eec04The","Gan06Eco",1
"960","Eec04The","Gie10Jou",1
"961","Eec04The","Gon10Jou",1
"962","Eec04The","Gue95Urb",1
"963","Eec04The","Gul12Age",1
"965","Eec04The","Ign15Dis",1
"966","Eec04The","Iye13Eur",1
"967","Eec04The","Kam90Jou",1
"968","Eec04The","Knu01Ame",1
"969","Eec04The","Kra98Urb",1
"970","Eec04The","Kru96Jou",1
"971","Eec04The","Kum14Jou",1
"973","Eec04The","Li_16Wor",1
"975","Eec04The","Mal80Env",1
"976","Eec04The","Man16Reg",1
"977","Eec04The","Mir86Urb",1
"980","Eec04The","Mor13Tow",1
"981","Eec04The","Nau03Jou",1
"982","Eec04The","Nis08Jou",1
"983","Eec04The","Oka79Reg",1
"984","Eec04The","Par83Jou",1
"985","Eec04The","Par85Jou",1
"987","Eec04The","Pop74Sov",1
"988","Eec04The","Pum15Cyb",1
"989","Eec04The","Ros80Jou",1
"990","Eec04The","Roz11Ame",1
"992","Eec04The","She12Com",1
"993","Eec04The","Son02Urb",1
"996","Eec04The","Sua80Jou",1
"998","Eec04The","XuZ09Urb",1
"999","Eec04The","Ziq16Asi",1
"1003","Ett87Env","Gab99Qua",1
"1004","Ett87Env","Gan06Eco",1
"1006","Ett87Env","Gie10Jou",1
"1007","Ett87Env","Gon10Jou",1
"1008","Ett87Env","Gue95Urb",1
"1009","Ett87Env","Gul12Age",1
"1011","Ett87Env","Ign15Dis",1
"1012","Ett87Env","Iye13Eur",1
"1013","Ett87Env","Kam90Jou",1
"1014","Ett87Env","Knu01Ame",1
"1015","Ett87Env","Kra98Urb",1
"1016","Ett87Env","Kru96Jou",1
"1017","Ett87Env","Kum14Jou",1
"1019","Ett87Env","Li_16Wor",1
"1021","Ett87Env","Mal80Env",1
"1022","Ett87Env","Man16Reg",1
"1023","Ett87Env","Mir86Urb",1
"1026","Ett87Env","Mor13Tow",1
"1027","Ett87Env","Nau03Jou",1
"1028","Ett87Env","Nis08Jou",1
"1029","Ett87Env","Oka79Reg",1
"1030","Ett87Env","Par83Jou",1
"1031","Ett87Env","Par85Jou",1
"1033","Ett87Env","Pop74Sov",1
"1034","Ett87Env","Pum15Cyb",1
"1035","Ett87Env","Ros80Jou",1
"1036","Ett87Env","Roz11Ame",1
"1038","Ett87Env","She12Com",1
"1039","Ett87Env","Son02Urb",1
"1042","Ett87Env","Sua80Jou",1
"1044","Ett87Env","XuZ09Urb",1
"1045","Ett87Env","Ziq16Asi",1
"1091","Faz15Jou","Gab11Jou",1
"1113","Faz15Jou","Mod15Qua",1
"1121","Faz15Jou","Pen10Phy",1
"1126","Faz15Jou","Sch12Reg",1
"1156","Gab11Jou","Mod15Qua",1
"1164","Gab11Jou","Pen10Phy",1
"1169","Gab11Jou","Sch12Reg",1
"1178","Gab99Qua","Gan06Eco",1
"1180","Gab99Qua","Gie10Jou",1
"1181","Gab99Qua","Gon10Jou",1
"1182","Gab99Qua","Gue95Urb",1
"1183","Gab99Qua","Gul12Age",1
"1185","Gab99Qua","Ign15Dis",1
"1186","Gab99Qua","Iye13Eur",1
"1187","Gab99Qua","Kam90Jou",1
"1188","Gab99Qua","Knu01Ame",1
"1189","Gab99Qua","Kra98Urb",1
"1190","Gab99Qua","Kru96Jou",1
"1191","Gab99Qua","Kum14Jou",1
"1193","Gab99Qua","Li_16Wor",1
"1195","Gab99Qua","Mal80Env",1
"1196","Gab99Qua","Man16Reg",1
"1197","Gab99Qua","Mir86Urb",1
"1200","Gab99Qua","Mor13Tow",1
"1201","Gab99Qua","Nau03Jou",1
"1202","Gab99Qua","Nis08Jou",1
"1203","Gab99Qua","Oka79Reg",1
"1204","Gab99Qua","Par83Jou",1
"1205","Gab99Qua","Par85Jou",1
"1207","Gab99Qua","Pop74Sov",1
"1208","Gab99Qua","Pum15Cyb",1
"1209","Gab99Qua","Ros80Jou",1
"1210","Gab99Qua","Roz11Ame",1
"1212","Gab99Qua","She12Com",1
"1213","Gab99Qua","Son02Urb",1
"1216","Gab99Qua","Sua80Jou",1
"1218","Gab99Qua","XuZ09Urb",1
"1219","Gab99Qua","Ziq16Asi",1
"1221","Gan06Eco","Gie10Jou",1
"1222","Gan06Eco","Gon10Jou",1
"1223","Gan06Eco","Gue95Urb",1
"1224","Gan06Eco","Gul12Age",1
"1226","Gan06Eco","Ign15Dis",1
"1227","Gan06Eco","Iye13Eur",1
"1228","Gan06Eco","Kam90Jou",1
"1229","Gan06Eco","Knu01Ame",1
"1230","Gan06Eco","Kra98Urb",1
"1231","Gan06Eco","Kru96Jou",1
"1232","Gan06Eco","Kum14Jou",1
"1234","Gan06Eco","Li_16Wor",1
"1236","Gan06Eco","Mal80Env",1
"1237","Gan06Eco","Man16Reg",1
"1238","Gan06Eco","Mir86Urb",1
"1241","Gan06Eco","Mor13Tow",1
"1242","Gan06Eco","Nau03Jou",1
"1243","Gan06Eco","Nis08Jou",1
"1244","Gan06Eco","Oka79Reg",1
"1245","Gan06Eco","Par83Jou",1
"1246","Gan06Eco","Par85Jou",1
"1248","Gan06Eco","Pop74Sov",1
"1249","Gan06Eco","Pum15Cyb",1
"1250","Gan06Eco","Ros80Jou",1
"1251","Gan06Eco","Roz11Ame",1
"1253","Gan06Eco","She12Com",1
"1254","Gan06Eco","Son02Urb",1
"1257","Gan06Eco","Sua80Jou",1
"1259","Gan06Eco","XuZ09Urb",1
"1260","Gan06Eco","Ziq16Asi",1
"1301","Gie10Jou","Gon10Jou",1
"1302","Gie10Jou","Gue95Urb",1
"1303","Gie10Jou","Gul12Age",1
"1305","Gie10Jou","Ign15Dis",1
"1306","Gie10Jou","Iye13Eur",1
"1307","Gie10Jou","Kam90Jou",1
"1308","Gie10Jou","Knu01Ame",1
"1309","Gie10Jou","Kra98Urb",1
"1310","Gie10Jou","Kru96Jou",1
"1311","Gie10Jou","Kum14Jou",1
"1313","Gie10Jou","Li_16Wor",1
"1315","Gie10Jou","Mal80Env",1
"1316","Gie10Jou","Man16Reg",1
"1317","Gie10Jou","Mir86Urb",1
"1320","Gie10Jou","Mor13Tow",1
"1321","Gie10Jou","Nau03Jou",1
"1322","Gie10Jou","Nis08Jou",1
"1323","Gie10Jou","Oka79Reg",1
"1324","Gie10Jou","Par83Jou",1
"1325","Gie10Jou","Par85Jou",1
"1327","Gie10Jou","Pop74Sov",1
