"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"moves",0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,1,1,1,4,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
"national",0,3,0,4,0,0,0,3,15,0,2,3,1,0,2,2,1,1,7,1,9,1,1,0,2,0,0,23,0,1,1,0,5,5,0,4,1,2,0,0,0,1,0,0,5,1,15,9,0,0,2,4,0,0,1,0,3,1,3,6,2,1,2,9,2,1
"natural",0,5,0,2,0,4,0,1,1,4,1,2,0,0,0,0,0,0,2,5,4,2,0,1,4,0,2,1,1,0,2,0,6,4,2,1,8,5,0,0,6,3,0,0,0,0,1,4,1,0,1,2,0,0,0,0,2,4,2,0,0,3,0,0,0,1
"negative",0,1,1,4,3,0,0,0,2,0,13,0,1,1,0,2,6,3,0,7,1,2,0,0,2,4,0,3,2,5,1,0,2,3,0,1,0,3,2,2,0,0,0,0,0,1,0,6,2,1,21,1,1,0,1,4,2,0,2,1,2,6,1,1,12,0
"non",0,1,4,0,6,0,3,1,11,9,0,4,0,8,0,2,3,0,4,0,0,2,0,0,0,0,4,15,0,7,1,0,2,3,0,0,0,1,3,30,0,0,0,1,8,3,0,1,9,0,0,0,1,0,0,9,0,9,5,8,0,1,1,0,26,5
"noted",0,2,1,0,1,0,0,0,4,3,2,0,2,0,3,0,0,0,0,1,1,2,0,0,1,0,2,0,2,1,0,3,0,0,0,6,0,1,0,1,0,0,0,1,5,0,1,1,0,4,5,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0
"numerous",0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,3,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"nutshell",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ordering",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"originates",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
