"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"measured",0,1,0,0,0,3,1,0,4,0,3,1,2,0,1,0,1,1,0,2,1,5,1,0,1,0,1,1,1,2,0,2,1,1,0,1,2,1,0,9,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0
"measures",0,1,0,0,4,2,0,0,0,0,0,1,4,0,0,1,1,2,1,0,1,3,1,0,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,2,0,1,1,1,3,0,2,0,0,0,0,1,0,0,0,17,0,1,1,1,2,2,0,0,3,1
"medium",0,1,1,1,0,0,0,0,2,4,0,5,2,0,0,0,2,4,8,0,1,8,1,0,4,0,2,0,1,0,0,0,4,12,1,2,0,3,6,31,0,0,3,1,1,1,4,0,0,0,3,1,0,0,3,0,0,3,4,2,0,0,0,0,7,4
"method",0,5,0,1,4,0,5,0,2,0,0,2,5,0,10,0,3,1,3,1,0,9,5,1,0,0,6,0,1,1,0,3,4,10,0,0,0,6,2,0,0,0,2,0,1,1,0,0,7,18,0,1,8,0,2,1,6,4,0,1,8,3,0,1,5,8
"methodological",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"midland",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mine",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"minimum",0,1,1,0,1,0,3,0,3,1,0,0,4,2,0,1,3,1,0,0,1,1,4,0,1,0,3,1,3,0,1,1,1,0,1,1,2,2,0,0,0,4,2,5,0,0,0,1,2,2,7,0,2,0,0,0,2,0,1,0,3,1,0,2,1,0
"modeling",0,2,1,0,1,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"motivated",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
