"","i","j","cosSimTerm"
"1162","Ezz15Rev.txt","Gon10Jou.txt",0.71331881865644
"1290","Gab99Qua.txt","Gul12Age.txt",0.711791944540917
"1761","Kum14Jou.txt","Son02Urb.txt",0.711431849942867
"1639","Iye13Eur.txt","Ros80Jou.txt",0.711256262791891
"1738","Kru96Jou.txt","XuZ09Urb.txt",0.710294635053679
"1443","Gon10Jou.txt","Gue95Urb.txt",0.709930960213019
"559","Bos08Reg.txt","Eec04The.txt",0.709843898145171
"454","Ber12Cit.txt","Gie10Jou.txt",0.709507026117304
"2137","Soo07Urb.txt","Ven13Oec.txt",0.709392128965386
"1627","Iye13Eur.txt","Mir86Urb.txt",0.70930686920308
"1475","Gon10Jou.txt","Soo07Urb.txt",0.708598663609956
"971","Del13Eur.txt","Eec04The.txt",0.70847364582256
"1489","Gue95Urb.txt","Li_16Wor.txt",0.708401041720749
"1796","Li_16Wor.txt","Mal80Env.txt",0.708137157638622
"1104","Eec04The.txt","Son02Urb.txt",0.708128774363254
"631","Bra99Jou.txt","Kru96Jou.txt",0.707369162313042
"222","Ara14Eco.txt","Iye13Eur.txt",0.70647186507718
"1645","Iye13Eur.txt","Soo07Urb.txt",0.70563858814988
"1505","Gue95Urb.txt","Ros80Jou.txt",0.705110996319415
"1453","Gon10Jou.txt","Li_16Wor.txt",0.704633606949791
"940","Del04Con.txt","Kru96Jou.txt",0.704566757285072
"577","Bos08Reg.txt","Kum14Jou.txt",0.704360976723065
"2111","Sch12Reg.txt","Son02Urb.txt",0.704316341232558
"1542","Gul12Age.txt","Sch12Reg.txt",0.70401025590784
"943","Del04Con.txt","Li_16Wor.txt",0.703346074726773
"678","Bre00Cyb.txt","Gue95Urb.txt",0.702613863372253
"1759","Kum14Jou.txt","Sch12Reg.txt",0.702575195288943
"248","Ara14Eco.txt","Son02Urb.txt",0.702285185004128
"1458","Gon10Jou.txt","Mod15Qua.txt",0.701919424551048
"613","Bra99Jou.txt","Dim09Urb.txt",0.701519181183775
"1731","Kru96Jou.txt","Sch12Reg.txt",0.701483315956876
"1287","Gab99Qua.txt","Gie10Jou.txt",0.701169287331109
"1100","Eec04The.txt","Ros80Jou.txt",0.700749016803361
"2089","Pum15Cyb.txt","XuZ09Urb.txt",0.700276966624755
"599","Bos08Reg.txt","Son02Urb.txt",0.700075362133735
"1175","Ezz15Rev.txt","Mal80Env.txt",0.698879819708647
"973","Del13Eur.txt","Ezz15Rev.txt",0.698246008221187
"1438","Gie10Jou.txt","Soo07Urb.txt",0.696822108932481
"1323","Gab99Qua.txt","Ven13Oec.txt",0.695979736527188
"156","And05Reg.txt","Gue95Urb.txt",0.694999926801387
"1511","Gue95Urb.txt","Soo07Urb.txt",0.694900383669723
"604","Bos08Reg.txt","XuZ09Urb.txt",0.693621003724871
"1023","Dim09Urb.txt","Gab99Qua.txt",0.692079795630319
"568","Bos08Reg.txt","Gon10Jou.txt",0.691842966117889
"433","Ben07Com.txt","XuZ09Urb.txt",0.691458671793738
"541","Bla03Jou.txt","Sch12Reg.txt",0.691239696779398
"941","Del04Con.txt","Kum14Jou.txt",0.691129282507539
"1324","Gab99Qua.txt","XuZ09Urb.txt",0.690820757706491
"991","Del13Eur.txt","Li_16Wor.txt",0.690281465406087
"1798","Li_16Wor.txt","Mir86Urb.txt",0.690033480957461
"2099","Ros80Jou.txt","XuZ09Urb.txt",0.689858888532681
"989","Del13Eur.txt","Kum14Jou.txt",0.689614678442874
"1641","Iye13Eur.txt","Sch12Reg.txt",0.689414273452273
"399","Ben07Com.txt","Gul12Age.txt",0.688664924498691
"1118","Ett87Env.txt","Gon10Jou.txt",0.688162542292889
"1708","Knu01Ame.txt","Ven13Oec.txt",0.687498529427526
"561","Bos08Reg.txt","Ezz15Rev.txt",0.686989277276661
"1480","Gue95Urb.txt","Gul12Age.txt",0.686370291822623
"1625","Iye13Eur.txt","Mal80Env.txt",0.686002084777102
"157","And05Reg.txt","Gul12Age.txt",0.685553763946809
"958","Del04Con.txt","Pum15Cyb.txt",0.685428061518466
"959","Del04Con.txt","Ros80Jou.txt",0.685363081598889
"1451","Gon10Jou.txt","Kum14Jou.txt",0.685212885048542
"1177","Ezz15Rev.txt","Mir86Urb.txt",0.684298506937527
"923","Del04Con.txt","Eec04The.txt",0.684154147392712
"937","Del04Con.txt","Iye13Eur.txt",0.683314697364877
"1029","Dim09Urb.txt","Gul12Age.txt",0.683100590418076
"504","Bla03Jou.txt","Ett87Env.txt",0.6828793672076
"567","Bos08Reg.txt","Gie10Jou.txt",0.682166919501914
"1447","Gon10Jou.txt","Iye13Eur.txt",0.681711127312199
"397","Ben07Com.txt","Gon10Jou.txt",0.680983122765107
"1444","Gon10Jou.txt","Gul12Age.txt",0.680933150594692
"1509","Gue95Urb.txt","Son02Urb.txt",0.680560374939388
"569","Bos08Reg.txt","Gue95Urb.txt",0.679544738597981
"652","Bra99Jou.txt","Sch12Reg.txt",0.678980483879125
"686","Bre00Cyb.txt","Kum14Jou.txt",0.678015176933049
"690","Bre00Cyb.txt","Mal80Env.txt",0.67747721343747
"2092","Ros80Jou.txt","Sch12Reg.txt",0.676956755176955
"1412","Gie10Jou.txt","Knu01Ame.txt",0.676933865714795
"523","Bla03Jou.txt","Li_16Wor.txt",0.67625401880282
"1747","Kum14Jou.txt","Mor13Tex.txt",0.67588124936434
"1861","Mal80Env.txt","Sch12Reg.txt",0.675235542092322
"1108","Eec04The.txt","Ven13Oec.txt",0.674897693106192
"210","Ara14Eco.txt","Ezz15Rev.txt",0.674523202898097
"1616","Ign15Dis.txt","XuZ09Urb.txt",0.672894955215274
"1757","Kum14Jou.txt","Ros80Jou.txt",0.672207329430094
"147","And05Reg.txt","Ett87Env.txt",0.672057473616427
"1469","Gon10Jou.txt","Ros80Jou.txt",0.671855800326027
"426","Ben07Com.txt","Sch12Reg.txt",0.671636754403453
"385","Ben07Com.txt","Del04Con.txt",0.671509729810886
"171","And05Reg.txt","Mod15Qua.txt",0.671219798097552
"1075","Eec04The.txt","Gul12Age.txt",0.670026344124738
"1446","Gon10Jou.txt","Ign15Dis.txt",0.669841322327943
"1321","Gab99Qua.txt","Soo07Urb.txt",0.669719230534242
"1421","Gie10Jou.txt","Mod15Qua.txt",0.667914149965024
"1028","Dim09Urb.txt","Gue95Urb.txt",0.667232357346427
"1450","Gon10Jou.txt","Kru96Jou.txt",0.667153367677599
"163","And05Reg.txt","Kru96Jou.txt",0.666662695423786
"1927","Mod15Qua.txt","Sch12Reg.txt",0.665154370474167
"2131","Soo05Reg.txt","Soo07Urb.txt",0.664994928634865
"146","And05Reg.txt","Eec04The.txt",0.66481936734773
"679","Bre00Cyb.txt","Gul12Age.txt",0.663862424896113
"1111","Ett87Env.txt","Ezz15Rev.txt",0.663495147463809
"1913","Mir86Urb.txt","XuZ09Urb.txt",0.663458364744719
"1452","Gon10Jou.txt","LeG08Emp.txt",0.662976912995256
"1455","Gon10Jou.txt","Mal80Env.txt",0.662911079297624
"965","Del04Con.txt","Soo07Urb.txt",0.662904247914067
"1327","Gan06Eco.txt","Gie10Jou.txt",0.662769358241792
"379","Ben07Com.txt","Bra99Jou.txt",0.662514650518054
"868","Cie16Mis.txt","Ven13Oec.txt",0.662483783322193
"462","Ber12Cit.txt","Knu01Ame.txt",0.662287113533991
"228","Ara14Eco.txt","Li_16Wor.txt",0.662266539532293
"1986","Nau03Jou.txt","Son02Urb.txt",0.662242758819627
"1053","Dim09Urb.txt","Pum15Cyb.txt",0.662200023084077
"1069","Eec04The.txt","Gab99Qua.txt",0.662188821819944
"624","Bra99Jou.txt","Gue95Urb.txt",0.661825806191786
"408","Ben07Com.txt","Li_16Wor.txt",0.661616430090473
"556","Bos08Reg.txt","Del04Con.txt",0.661348967249448
"603","Bos08Reg.txt","Ven13Oec.txt",0.660719746629164
"1793","LeG08Emp.txt","XuZ09Urb.txt",0.660256624831597
"136","And05Reg.txt","Bos08Reg.txt",0.660088811441916
"390","Ben07Com.txt","Ezz15Rev.txt",0.660072539974087
"538","Bla03Jou.txt","Pum15Cyb.txt",0.659153706505563
"645","Bra99Jou.txt","Par83Jou.txt",0.659094868187827
"928","Del04Con.txt","Gab99Qua.txt",0.659092132674581
"1606","Ign15Dis.txt","Pum15Cyb.txt",0.657596546449837
"1015","Del13Eur.txt","Ven13Oec.txt",0.657301624855091
"557","Bos08Reg.txt","Del13Eur.txt",0.656510546492299
"1072","Eec04The.txt","Gie10Jou.txt",0.656186173974033
"1019","Dim09Urb.txt","Ett87Env.txt",0.655710670835577
"1951","Mor13Tex.txt","Soo07Urb.txt",0.655469419431607
"165","And05Reg.txt","LeG08Emp.txt",0.655357159937469
"105","Ama14Int.txt","Mal80Env.txt",0.655204173050148
"1934","Mod15Qua.txt","XuZ09Urb.txt",0.655176245005439
"232","Ara14Eco.txt","Mir86Urb.txt",0.654981031326389
"573","Bos08Reg.txt","Iye13Eur.txt",0.654586620213569
"166","And05Reg.txt","Li_16Wor.txt",0.653922061469895
"505","Bla03Jou.txt","Ezz15Rev.txt",0.653557039320656
"985","Del13Eur.txt","Iye13Eur.txt",0.653121151069853
"1402","Gan13Eco.txt","Ven13Oec.txt",0.653059814158599
"942","Del04Con.txt","LeG08Emp.txt",0.653043679929089
"1493","Gue95Urb.txt","Mir86Urb.txt",0.652898025192464
"133","And05Reg.txt","Ben07Com.txt",0.65197322005371
"520","Bla03Jou.txt","Kru96Jou.txt",0.651448438553489
"1468","Gon10Jou.txt","Pum15Cyb.txt",0.651264186163384
"1908","Mir86Urb.txt","Son02Urb.txt",0.651245822411563
"1486","Gue95Urb.txt","Kru96Jou.txt",0.650790476050167
"1123","Ett87Env.txt","Iye13Eur.txt",0.650684895142604
"1086","Eec04The.txt","Mal80Env.txt",0.650659831200438
"997","Del13Eur.txt","Mor13Tex.txt",0.649369387465307
"1131","Ett87Env.txt","Mal80Env.txt",0.648662814309812
"595","Bos08Reg.txt","Ros80Jou.txt",0.648497723947285
"1164","Ezz15Rev.txt","Gul12Age.txt",0.648166598673392
"1518","Gul12Age.txt","Iye13Eur.txt",0.647211175239647
"75","Ama14Int.txt","Bre00Cyb.txt",0.647153033870259
"168","And05Reg.txt","Mal80Env.txt",0.647140013637013
"131","And05Reg.txt","Arr12Reg.txt",0.647108371237657
"668","Bre00Cyb.txt","Eec04The.txt",0.646993739948647
"1035","Dim09Urb.txt","Kru96Jou.txt",0.646976589834911
"94","Ama14Int.txt","Gul12Age.txt",0.646840537129495
"514","Bla03Jou.txt","Gul12Age.txt",0.64657397515234
"1090","Eec04The.txt","Mor13Tex.txt",0.646444311359395
"1522","Gul12Age.txt","Kum14Jou.txt",0.646029735880376
"1197","Ezz15Rev.txt","Ven13Oec.txt",0.645317301775599
"1524","Gul12Age.txt","Li_16Wor.txt",0.64531381131722
"1366","Gan13Eco.txt","Gie10Jou.txt",0.645054858725142
"405","Ben07Com.txt","Kru96Jou.txt",0.644560607188727
"377","Ben07Com.txt","Bla03Jou.txt",0.644369557063032
"517","Bla03Jou.txt","Iye13Eur.txt",0.644029173300009
"615","Bra99Jou.txt","Ett87Env.txt",0.643771691850228
"670","Bre00Cyb.txt","Ezz15Rev.txt",0.643767360276499
"619","Bra99Jou.txt","Gab99Qua.txt",0.643736736303333
"1144","Ett87Env.txt","Pum15Cyb.txt",0.64368808636904
"188","And05Reg.txt","Soo07Urb.txt",0.643254073384375
"522","Bla03Jou.txt","LeG08Emp.txt",0.643054514850649
"1774","LeG08Emp.txt","Mor13Tex.txt",0.642125098759587
"83","Ama14Int.txt","Eec04The.txt",0.64201578641932
"388","Ben07Com.txt","Eec04The.txt",0.642006074088546
"1859","Mal80Env.txt","Ros80Jou.txt",0.641816323659945
"1166","Ezz15Rev.txt","Ign15Dis.txt",0.641555076763352
"1081","Eec04The.txt","Kru96Jou.txt",0.641092339302234
"703","Bre00Cyb.txt","Pum15Cyb.txt",0.640750236705172
"1904","Mir86Urb.txt","Ros80Jou.txt",0.640584513250967
"1040","Dim09Urb.txt","Mal80Env.txt",0.639620011680354
"706","Bre00Cyb.txt","Sch12Reg.txt",0.639423184968489
"1088","Eec04The.txt","Mir86Urb.txt",0.639373964705758
"1009","Del13Eur.txt","Sch12Reg.txt",0.639350875987728
"1865","Mal80Env.txt","Soo07Urb.txt",0.639094098868531
"398","Ben07Com.txt","Gue95Urb.txt",0.638796187313808
"682","Bre00Cyb.txt","Iye13Eur.txt",0.63865551251534
"1295","Gab99Qua.txt","Knu01Ame.txt",0.63854606143686
"148","And05Reg.txt","Ezz15Rev.txt",0.638171274022862
"250","Ara14Eco.txt","Soo07Urb.txt",0.637344059174348
"558","Bos08Reg.txt","Dim09Urb.txt",0.637203456300868
"218","Ara14Eco.txt","Gue95Urb.txt",0.6371937014322
"402","Ben07Com.txt","Iye13Eur.txt",0.637010926224152
"1473","Gon10Jou.txt","Son02Urb.txt",0.636864154756498
"581","Bos08Reg.txt","Mal80Env.txt",0.63662332559312
"634","Bra99Jou.txt","Li_16Wor.txt",0.636543289459975
