"","i","j","cosSim"
"1539","Bos08Reg","Kum14Jou",0.200160192256359
"1618","Dim09Urb","XuZ09Urb",0.20008168266626
"772","Kru96Jou","Bat01Urb",0.2
"1768","Pen10Phy","Gab11Jou",0.199204768222399
"1697","Gie10Jou","Ama14Int",0.198679853559757
"1779","Pen10Phy","Mor13Tow",0.198516666794186
"1312","Eec04The","Ama14Int",0.198029508595335
"2035","Mor13Tow","Mod15Qua",0.197951895616224
"1563","LeG08Emp","Sch12Reg",0.196865387666913
"1732","Gon10Jou","Faz15Jou",0.196747750735186
"1650","XuZ09Urb","Gie10Jou",0.196722368841158
"1585","Nis08Jou","Dim09Urb",0.196418550329597
"1963","Del13Eur","Kum14Jou",0.196116135138184
"1705","Gie10Jou","Mod15Qua",0.195646395217807
"2119","Faz15Jou","Mod15Qua",0.194624736040381
"1793","Pen10Phy","Man16Reg",0.194461117065649
"1411","Soo05Reg","XuZ09Urb",0.194461117065649
"1549","Bos08Reg","Man16Reg",0.194183909345154
"1343","And05Reg","Gul12Age",0.193952455150571
"556","Alp89Jou","Gab99Qua",0.192006144294928
"1342","And05Reg","Ber12Cit",0.191706445279037
"1824","Roz11Ame","Sch12Reg",0.191706445279037
"1742","Hol10Nat","Roz11Ame",0.191654987367688
"1734","Gon10Jou","Mod15Qua",0.191459895266871
"1334","And05Reg","XuZ09Urb",0.191078926589545
"1551","LeG08Emp","Nis08Jou",0.190692517849118
"76","Oka79Reg","Gue95Urb",0.19047619047619
"1973","Del13Eur","Man16Reg",0.190260597661798
"964","Gab99Qua","Mod15Qua",0.189535626375859
"1502","Soo07Urb","Ama14Int",0.188982236504614
"1776","Pen10Phy","Gan13Eco",0.188982236504614
"1439","Soo05Reg","Cie16Mis",0.188982236504614
"2126","Ign15Dis","Pum15Cyb",0.188982236504614
"1531","Bos08Reg","Del13Eur",0.188422287906398
"2087","Kum14Jou","Cie16Mis",0.1875
"1484","Soo07Urb","XuZ09Urb",0.18712029714128
"1354","And05Reg","Kum14Jou",0.185695338177052
"1423","Soo05Reg","Del13Eur",0.185312329165275
"1291","Eec04The","LeG08Emp",0.184998916025152
"200","Ros80Jou","Kam90Jou",0.18490006540841
"1537","Bos08Reg","Ama14Int",0.18490006540841
"1651","XuZ09Urb","Gon10Jou",0.184812331090109
"2062","Ama14Int","Mod15Qua",0.184637236468999
"1421","Soo05Reg","Sch12Reg",0.18394180184549
"1683","Gie10Jou","Pen10Phy",0.18394180184549
"1298","Eec04The","Pen10Phy",0.183339699405642
"1428","Soo05Reg","Ven13Oec",0.183339699405642
"1441","Soo05Reg","Man16Reg",0.183339699405642
"956","Gab99Qua","Ama14Int",0.183308893776692
"260","Sua80Jou","Cam90Jou",0.182574185835055
"2121","Faz15Jou","Cie16Mis",0.182574185835055
"1346","And05Reg","Del13Eur",0.182089260182307
"2051","Ven13Oec","Cie16Mis",0.18190171877725
"2089","Kum14Jou","Man16Reg",0.18190171877725
"1483","Soo07Urb","Dim09Urb",0.181848241863327
"1250","Del04Con","LeG08Emp",0.181649753637689
"1685","Gie10Jou","Roz11Ame",0.180742569938633
"1822","Roz11Ame","Ber12Cit",0.180742569938633
"871","Bra99Jou","Gab99Qua",0.180724349003062
"2026","Mor13Tow","Ven13Oec",0.180150939644418
"2039","Mor13Tow","Man16Reg",0.180150939644418
"1691","Gie10Jou","Del13Eur",0.179968508266339
"1850","Arr12Reg","Del13Eur",0.179028718509858
"1622","Dim09Urb","Pen10Phy",0.17817416127495
"922","Gab99Qua","Bat01Urb",0.177800177800267
"1848","Arr12Reg","Sch12Reg",0.177704663327728
"1868","Arr12Reg","Man16Reg",0.177122977108019
"1606","Nis08Jou","Kum14Jou",0.176776695296637
"775","Kru96Jou","Bla03Jou",0.176776695296637
"1261","Del04Con","Ber12Cit",0.176604314275339
"1725","Gon10Jou","Ven13Oec",0.174242736747613
"938","Gab99Qua","XuZ09Urb",0.174242736747613
"310","Sua80Jou","Mod15Qua",0.174077655955698
"1623","Dim09Urb","Gab11Jou",0.173916398249984
"376","Par85Jou","Mir86Urb",0.173239732168809
"1707","Gie10Jou","Cie16Mis",0.172061800402921
"1603","Nis08Jou","Ven13Oec",0.171498585142509
"1978","Gan13Eco","Ven13Oec",0.171498585142509
"1982","Gan13Eco","Luc14Eco",0.171498585142509
"1669","XuZ09Urb","Kum14Jou",0.171498585142509
"1789","Pen10Phy","Mod15Qua",0.170940864689457
"1335","And05Reg","Gie10Jou",0.170405729136922
"1961","Del13Eur","Ama14Int",0.169841555121689
"1341","And05Reg","Arr12Reg",0.169515875905203
"1588","Nis08Jou","Gon10Jou",0.169333502666921
"915","Bra99Jou","Mod15Qua",0.168549965615811
"1525","Bos08Reg","Roz11Ame",0.168206853412472
"1306","Eec04The","Del13Eur",0.168168198499078
"1838","Roz11Ame","Faz15Jou",0.167812155519884
"1686","Gie10Jou","Arr12Reg",0.167541563316678
"1703","Gie10Jou","Faz15Jou",0.167541563316678
"1853","Arr12Reg","Mor13Tex",0.167541563316678
"1524","Bos08Reg","Gab11Jou",0.167093470609201
"1878","Ber12Cit","Ven13Oec",0.166924465222397
"1891","Ber12Cit","Man16Reg",0.166924465222397
"1165","Bla03Jou","LeG08Emp",0.166855953117979
"1271","Del04Con","Ama14Int",0.166666666666667
"1311","Eec04The","Ven13Oec",0.166378066161541
"929","Gab99Qua","And05Reg",0.165083320722802
"1253","Del04Con","XuZ09Urb",0.165024590496112
"1420","Soo05Reg","Gul12Age",0.164487923739942
"194","Ros80Jou","Par83Jou",0.164121987972444
"1279","Del04Con","Mod15Qua",0.164121987972444
"1504","Soo07Urb","Kum14Jou",0.163663417676994
"2114","Ezz15Rev","Cie16Mis",0.163663417676994
"1583","LeG08Emp","Man16Reg",0.163517485041932
"437","Mir86Urb","Cam90Jou",0.162697843363992
"492","Mir86Urb","Ziq16Asi",0.161690416690889
"1635","Dim09Urb","Ven13Oec",0.161690416690889
"1352","And05Reg","Ama14Int",0.160816880225669
"946","Gab99Qua","Ber12Cit",0.160247050355718
"1547","Bos08Reg","Cie16Mis",0.160128153805087
"2132","Mod15Qua","Cie16Mis",0.159900537266708
"1508","Soo07Urb","Faz15Jou",0.159363814577919
"71","Oka79Reg","Mir86Urb",0.158776837207489
"1170","Bla03Jou","Gon10Jou",0.158750158750238
"2060","Ama14Int","Faz15Jou",0.158113883008419
"1655","XuZ09Urb","Roz11Ame",0.157632072188866
"1552","LeG08Emp","Dim09Urb",0.157313301241423
"1617","Nis08Jou","Ziq16Asi",0.157134840263677
"1486","Soo07Urb","Gon10Jou",0.156772360333924
"1318","Eec04The","Faz15Jou",0.156556072771287
"1656","XuZ09Urb","Arr12Reg",0.156556072771287
"1536","Bos08Reg","Ven13Oec",0.155347127476123
"2049","Ven13Oec","Mod15Qua",0.155126306998506
"2134","Mod15Qua","Man16Reg",0.155126306998506
"1070","Knu01Ame","And05Reg",0.154880618532473
"947","Gab99Qua","Gul12Age",0.154755190899884
"1554","LeG08Emp","Gie10Jou",0.154672056222436
"1826","Roz11Ame","Del13Eur",0.154507860787381
"1609","Nis08Jou","Ezz15Rev",0.154303349962092
"1781","Pen10Phy","Ama14Int",0.154303349962092
"259","Sua80Jou","Alp89Jou",0.154303349962092
"276","Sua80Jou","Cra05Con",0.154303349962092
"1782","Pen10Phy","Ara14Eco",0.154303349962092
"1771","Pen10Phy","Ber12Cit",0.153284834871241
"1624","Dim09Urb","Roz11Ame",0.153190838336343
"231","Ros80Jou","Ber12Cit",0.152943822580374
"1408","Soo05Reg","LeG08Emp",0.152894157431288
"1625","Dim09Urb","Arr12Reg",0.152145154862546
"1753","Hol10Nat","Ven13Oec",0.151716521227252
"300","Sua80Jou","Mor13Tow",0.151619608715781
"1832","Roz11Ame","Ama14Int",0.151619608715781
"744","Gue95Urb","Ber12Cit",0.150187852296528
"944","Gab99Qua","Roz11Ame",0.150083402842141
"1289","Eec04The","Soo07Urb",0.149696237713024
"1620","Dim09Urb","Gon10Jou",0.149671085022312
"1303","Eec04The","Gul12Age",0.149270358506633
"199","Ros80Jou","Cam90Jou",0.149071198499986
"660","Cam90Jou","Ziq16Asi",0.149071198499986
"1338","And05Reg","Pen10Phy",0.14888750009564
"1871","Ber12Cit","Sch12Reg",0.148864585512957
"1909","Gul12Age","Mod15Qua",0.148453923805041
"1092","Knu01Ame","Gan13Eco",0.147441956154897
"1749","Hol10Nat","Gan13Eco",0.147441956154897
"1481","Soo07Urb","LeG08Emp",0.147122471584125
"1534","Bos08Reg","Mor13Tex",0.146943671674129
"857","Kra98Urb","Ama14Int",0.14638501094228
"1543","Bos08Reg","Faz15Jou",0.146176336551172
"1718","Gon10Jou","Sch12Reg",0.145679136687016
"1430","Soo05Reg","Ara14Eco",0.145478593490662
"2117","Ezz15Rev","Ziq16Asi",0.145478593490662
"1555","LeG08Emp","Gon10Jou",0.145307843908945
"1799","Gab11Jou","Sch12Reg",0.145095250022002
"1627","Dim09Urb","Gul12Age",0.145064713296415
"1806","Gab11Jou","Ven13Oec",0.144620305212437
"2064","Ama14Int","Cie16Mis",0.144337567297406
"1087","Knu01Ame","Ber12Cit",0.143509461970482
"1881","Ber12Cit","Kum14Jou",0.143384833669101
"195","Ros80Jou","Par85Jou",0.142857142857143
"567","Alp89Jou","Soo05Reg",0.142857142857143
"1366","Cra05Con","Soo05Reg",0.142857142857143
"1507","Soo07Urb","Ezz15Rev",0.142857142857143
"1960","Del13Eur","Ven13Oec",0.142695448246348
"934","Gab99Qua","Bos08Reg",0.142354071086865
"1559","LeG08Emp","Roz11Ame",0.141642846359302
"1494","Soo07Urb","Sch12Reg",0.141598465080958
"1714","Gon10Jou","Roz11Ame",0.141499989190973
"1118","Son02Urb","Gan06Eco",0.141421356237309
"1260","Del04Con","Arr12Reg",0.140545673785261
"1591","Nis08Jou","Gab11Jou",0.140545673785261
"1769","Pen10Phy","Roz11Ame",0.140372481268719
"450","Mir86Urb","Del04Con",0.140028008402801
"479","Mir86Urb","Ama14Int",0.140028008402801
"1283","Del04Con","Man16Reg",0.140028008402801
"2041","Ven13Oec","Ama14Int",0.140028008402801
"2066","Ama14Int","Man16Reg",0.140028008402801
"1840","Roz11Ame","Mod15Qua",0.139973127738964
"124","Oka79Reg","Mod15Qua",0.139572631559771
"762","Gue95Urb","Mod15Qua",0.139572631559771
"1772","Pen10Phy","Gul12Age",0.139572631559771
"181","Mal80Env","Kum14Jou",0.139271503632789
"1362","And05Reg","Cie16Mis",0.139271503632789
"2037","Mor13Tow","Cie16Mis",0.139271503632789
"1304","Eec04The","Sch12Reg",0.139103721018664
"469","Mir86Urb","Ber12Cit",0.139103721018664
"1657","XuZ09Urb","Ber12Cit",0.137705658188811
