"","i","j","diff_n"
"1757","Luc14Eco","Man16Reg",0.276595744680851
"1760","Luc14Eco","Mor13Tex",0.276595744680851
"1808","Man16Reg","Mor13Tow",0.276595744680851
"1818","Man16Reg","Roz11Ame",0.276595744680851
"1873","Mor13Tex","Nis08Jou",0.276595744680851
"1916","Nau03Jou","Pum15Cyb",0.276595744680851
"1949","Oka79Reg","Pum15Cyb",0.276595744680851
"2022","Pum15Cyb","Sua80Jou",0.276595744680851
"2055","She12Com","Soo07Urb",0.276595744680851
"177","And05Reg","Pop74Sov",0.322695035460993
"183","And05Reg","Son02Urb",0.322695035460993
"251","Bat01Urb","Ber12Cit",0.322695035460993
"253","Bat01Urb","Bos08Reg",0.322695035460993
"254","Bat01Urb","Bra99Jou",0.322695035460993
"262","Bat01Urb","Dim09Urb",0.322695035460993
"320","Ber12Cit","Del13Eur",0.322695035460993
"365","Ber12Cit","Soo07Urb",0.322695035460993
"435","Bos08Reg","Del13Eur",0.322695035460993
"480","Bos08Reg","Soo07Urb",0.322695035460993
"491","Bra99Jou","Del13Eur",0.322695035460993
"536","Bra99Jou","Soo07Urb",0.322695035460993
"542","Bre00Cyb","Cam90Jou",0.322695035460993
"552","Bre00Cyb","Gab11Jou",0.322695035460993
"553","Bre00Cyb","Gab99Qua",0.322695035460993
"564","Bre00Cyb","Knu01Ame",0.322695035460993
"566","Bre00Cyb","Kru96Jou",0.322695035460993
"577","Bre00Cyb","Nau03Jou",0.322695035460993
"579","Bre00Cyb","Oka79Reg",0.322695035460993
"592","Bre00Cyb","Sua80Jou",0.322695035460993
"662","Cam90Jou","Gan13Eco",0.322695035460993
"663","Cam90Jou","Gie10Jou",0.322695035460993
"679","Cam90Jou","Man16Reg",0.322695035460993
"794","Cra05Con","Pum15Cyb",0.322695035460993
"856","Del13Eur","Dim09Urb",0.322695035460993
"948","Dim09Urb","Soo07Urb",0.322695035460993
"1093","Faz15Jou","Gan06Eco",0.322695035460993
"1098","Faz15Jou","Gul12Age",0.322695035460993
"1108","Faz15Jou","Li_16Wor",0.322695035460993
"1137","Gab11Jou","Gan13Eco",0.322695035460993
"1138","Gab11Jou","Gie10Jou",0.322695035460993
"1154","Gab11Jou","Man16Reg",0.322695035460993
"1179","Gab99Qua","Gan13Eco",0.322695035460993
"1180","Gab99Qua","Gie10Jou",0.322695035460993
"1196","Gab99Qua","Man16Reg",0.322695035460993
"1226","Gan06Eco","Ign15Dis",0.322695035460993
"1269","Gan13Eco","Knu01Ame",0.322695035460993
"1271","Gan13Eco","Kru96Jou",0.322695035460993
"1282","Gan13Eco","Nau03Jou",0.322695035460993
"1284","Gan13Eco","Oka79Reg",0.322695035460993
"1297","Gan13Eco","Sua80Jou",0.322695035460993
"1308","Gie10Jou","Knu01Ame",0.322695035460993
"1310","Gie10Jou","Kru96Jou",0.322695035460993
"1321","Gie10Jou","Nau03Jou",0.322695035460993
"1323","Gie10Jou","Oka79Reg",0.322695035460993
"1336","Gie10Jou","Sua80Jou",0.322695035460993
"1416","Gul12Age","Ign15Dis",0.322695035460993
"1493","Ign15Dis","Li_16Wor",0.322695035460993
"1592","Knu01Ame","Man16Reg",0.322695035460993
"1651","Kru96Jou","Man16Reg",0.322695035460993
"1769","Luc14Eco","Pum15Cyb",0.322695035460993
"1809","Man16Reg","Nau03Jou",0.322695035460993
"1811","Man16Reg","Oka79Reg",0.322695035460993
"1824","Man16Reg","Sua80Jou",0.322695035460993
"1897","Mor13Tow","Pop74Sov",0.322695035460993
"1903","Mor13Tow","Son02Urb",0.322695035460993
"2005","Pop74Sov","Roz11Ame",0.322695035460993
"2007","Pop74Sov","She12Com",0.322695035460993
"2038","Roz11Ame","Son02Urb",0.322695035460993
"2053","She12Com","Son02Urb",0.322695035460993
"13","Alp89Jou","Cra05Con",0.368794326241135
"39","Alp89Jou","Luc14Eco",0.368794326241135
"76","Ama14Int","Cra05Con",0.368794326241135
"102","Ama14Int","Luc14Eco",0.368794326241135
"134","And05Reg","Bre00Cyb",0.368794326241135
"149","And05Reg","Gan13Eco",0.368794326241135
"150","And05Reg","Gie10Jou",0.368794326241135
"152","And05Reg","Gue95Urb",0.368794326241135
"166","And05Reg","Man16Reg",0.368794326241135
"174","And05Reg","Par83Jou",0.368794326241135
"181","And05Reg","Sch12Reg",0.368794326241135
"226","Ara14Eco","Mal80Env",0.368794326241135
"291","Bat01Urb","Mor13Tow",0.368794326241135
"301","Bat01Urb","Roz11Ame",0.368794326241135
"325","Ber12Cit","Faz15Jou",0.368794326241135
"335","Ber12Cit","Ign15Dis",0.368794326241135
"405","Bla03Jou","Mir86Urb",0.368794326241135
"440","Bos08Reg","Faz15Jou",0.368794326241135
"450","Bos08Reg","Ign15Dis",0.368794326241135
"496","Bra99Jou","Faz15Jou",0.368794326241135
"506","Bra99Jou","Ign15Dis",0.368794326241135
"588","Bre00Cyb","She12Com",0.368794326241135
"598","Bre15Int","Cra05Con",0.368794326241135
"624","Bre15Int","Luc14Eco",0.368794326241135
"690","Cam90Jou","Pop74Sov",0.368794326241135
"696","Cam90Jou","Son02Urb",0.368794326241135
"703","Cie16Mis","Cra05Con",0.368794326241135
"729","Cie16Mis","Luc14Eco",0.368794326241135
"758","Cra05Con","Eec04The",0.368794326241135
"759","Cra05Con","Ett87Env",0.368794326241135
"773","Cra05Con","Kam90Jou",0.368794326241135
"775","Cra05Con","Kra98Urb",0.368794326241135
"778","Cra05Con","LeG08Emp",0.368794326241135
"833","Del04Con","Mir86Urb",0.368794326241135
"885","Del13Eur","Mor13Tow",0.368794326241135
"895","Del13Eur","Roz11Ame",0.368794326241135
"908","Dim09Urb","Faz15Jou",0.368794326241135
"918","Dim09Urb","Ign15Dis",0.368794326241135
"974","Eec04The","Luc14Eco",0.368794326241135
"1020","Ett87Env","Luc14Eco",0.368794326241135
"1066","Ezz15Rev","Mal80Env",0.368794326241135
"1165","Gab11Jou","Pop74Sov",0.368794326241135
"1171","Gab11Jou","Son02Urb",0.368794326241135
"1207","Gab99Qua","Pop74Sov",0.368794326241135
"1213","Gab99Qua","Son02Urb",0.368794326241135
"1238","Gan06Eco","Mir86Urb",0.368794326241135
"1293","Gan13Eco","She12Com",0.368794326241135
"1332","Gie10Jou","She12Com",0.368794326241135
"1379","Gue95Urb","Hol10Nat",0.368794326241135
"1407","Gue95Urb","She12Com",0.368794326241135
"1428","Gul12Age","Mir86Urb",0.368794326241135
"1470","Hol10Nat","Par83Jou",0.368794326241135
"1477","Hol10Nat","Sch12Reg",0.368794326241135
"1530","Iye13Eur","Mir86Urb",0.368794326241135
"1559","Kam90Jou","Luc14Eco",0.368794326241135
"1603","Knu01Ame","Pop74Sov",0.368794326241135
"1609","Knu01Ame","Son02Urb",0.368794326241135
"1620","Kra98Urb","Luc14Eco",0.368794326241135
"1662","Kru96Jou","Pop74Sov",0.368794326241135
"1668","Kru96Jou","Son02Urb",0.368794326241135
"1678","Kum14Jou","Mal80Env",0.368794326241135
"1704","LeG08Emp","Luc14Eco",0.368794326241135
"1733","Li_16Wor","Mir86Urb",0.368794326241135
"1791","Mal80Env","Pen10Phy",0.368794326241135
"1820","Man16Reg","She12Com",0.368794326241135
"1829","Mir86Urb","Mor13Tex",0.368794326241135
"1905","Mor13Tow","Soo07Urb",0.368794326241135
"1915","Nau03Jou","Pop74Sov",0.368794326241135
"1921","Nau03Jou","Son02Urb",0.368794326241135
"1948","Oka79Reg","Pop74Sov",0.368794326241135
"1954","Oka79Reg","Son02Urb",0.368794326241135
"1968","Par83Jou","She12Com",0.368794326241135
"2011","Pop74Sov","Sua80Jou",0.368794326241135
"2040","Roz11Ame","Soo07Urb",0.368794326241135
"2045","Sch12Reg","She12Com",0.368794326241135
"2062","Son02Urb","Sua80Jou",0.368794326241135
"178","And05Reg","Pum15Cyb",0.414893617021277
"249","Ara14Eco","XuZ09Urb",0.414893617021277
"257","Bat01Urb","Cam90Jou",0.414893617021277
"267","Bat01Urb","Gab11Jou",0.414893617021277
"268","Bat01Urb","Gab99Qua",0.414893617021277
"279","Bat01Urb","Knu01Ame",0.414893617021277
"281","Bat01Urb","Kru96Jou",0.414893617021277
"292","Bat01Urb","Nau03Jou",0.414893617021277
"294","Bat01Urb","Oka79Reg",0.414893617021277
"307","Bat01Urb","Sua80Jou",0.414893617021277
"347","Ber12Cit","Mir86Urb",0.414893617021277
"383","Bla03Jou","Faz15Jou",0.414893617021277
"393","Bla03Jou","Ign15Dis",0.414893617021277
"462","Bos08Reg","Mir86Urb",0.414893617021277
"518","Bra99Jou","Mir86Urb",0.414893617021277
"653","Cam90Jou","Del13Eur",0.414893617021277
"698","Cam90Jou","Soo07Urb",0.414893617021277
"811","Del04Con","Faz15Jou",0.414893617021277
"821","Del04Con","Ign15Dis",0.414893617021277
"861","Del13Eur","Gab11Jou",0.414893617021277
"862","Del13Eur","Gab99Qua",0.414893617021277
"873","Del13Eur","Knu01Ame",0.414893617021277
"875","Del13Eur","Kru96Jou",0.414893617021277
"886","Del13Eur","Nau03Jou",0.414893617021277
"888","Del13Eur","Oka79Reg",0.414893617021277
"901","Del13Eur","Sua80Jou",0.414893617021277
"930","Dim09Urb","Mir86Urb",0.414893617021277
"1089","Ezz15Rev","XuZ09Urb",0.414893617021277
"1101","Faz15Jou","Iye13Eur",0.414893617021277
"1114","Faz15Jou","Mor13Tex",0.414893617021277
"1115","Faz15Jou","Mor13Tow",0.414893617021277
"1125","Faz15Jou","Roz11Ame",0.414893617021277
"1173","Gab11Jou","Soo07Urb",0.414893617021277
"1215","Gab99Qua","Soo07Urb",0.414893617021277
"1486","Ign15Dis","Iye13Eur",0.414893617021277
"1499","Ign15Dis","Mor13Tex",0.414893617021277
"1500","Ign15Dis","Mor13Tow",0.414893617021277
"1510","Ign15Dis","Roz11Ame",0.414893617021277
"1611","Knu01Ame","Soo07Urb",0.414893617021277
"1670","Kru96Jou","Soo07Urb",0.414893617021277
"1701","Kum14Jou","XuZ09Urb",0.414893617021277
"1860","Mod15Qua","Ros80Jou",0.414893617021277
"1923","Nau03Jou","Soo07Urb",0.414893617021277
"1956","Oka79Reg","Soo07Urb",0.414893617021277
"2001","Pen10Phy","XuZ09Urb",0.414893617021277
"2018","Pum15Cyb","She12Com",0.414893617021277
"2071","Soo07Urb","Sua80Jou",0.414893617021277
"29","Alp89Jou","Hol10Nat",0.460992907801418
"42","Alp89Jou","Mir86Urb",0.460992907801418
"65","Ama14Int","And05Reg",0.460992907801418
"120","Ama14Int","She12Com",0.460992907801418
"135","And05Reg","Bre15Int",0.460992907801418
"137","And05Reg","Cie16Mis",0.460992907801418
"142","And05Reg","Eec04The",0.460992907801418
"143","And05Reg","Ett87Env",0.460992907801418
"159","And05Reg","Kra98Urb",0.460992907801418
"172","And05Reg","Nis08Jou",0.460992907801418
"233","Ara14Eco","Nis08Jou",0.460992907801418
"248","Ara14Eco","Ven13Oec",0.460992907801418
"252","Bat01Urb","Bla03Jou",0.460992907801418
"260","Bat01Urb","Del04Con",0.460992907801418
"277","Bat01Urb","Iye13Eur",0.460992907801418
"290","Bat01Urb","Mor13Tex",0.460992907801418
"378","Bla03Jou","Del13Eur",0.460992907801418
"423","Bla03Jou","Soo07Urb",0.460992907801418
"642","Bre15Int","She12Com",0.460992907801418
"658","Cam90Jou","Faz15Jou",0.460992907801418
"668","Cam90Jou","Ign15Dis",0.460992907801418
"747","Cie16Mis","She12Com",0.460992907801418
"764","Cra05Con","Gan06Eco",0.460992907801418
"768","Cra05Con","Gue95Urb",0.460992907801418
"769","Cra05Con","Gul12Age",0.460992907801418
"779","Cra05Con","Li_16Wor",0.460992907801418
"790","Cra05Con","Par83Jou",0.460992907801418
"797","Cra05Con","Sch12Reg",0.460992907801418
"806","Del04Con","Del13Eur",0.460992907801418
"851","Del04Con","Soo07Urb",0.460992907801418
"871","Del13Eur","Iye13Eur",0.460992907801418
"884","Del13Eur","Mor13Tex",0.460992907801418
"992","Eec04The","She12Com",0.460992907801418
"1038","Ett87Env","She12Com",0.460992907801418
"1073","Ezz15Rev","Nis08Jou",0.460992907801418
"1088","Ezz15Rev","Ven13Oec",0.460992907801418
"1091","Faz15Jou","Gab11Jou",0.460992907801418
"1092","Faz15Jou","Gab99Qua",0.460992907801418
"1103","Faz15Jou","Knu01Ame",0.460992907801418
"1105","Faz15Jou","Kru96Jou",0.460992907801418
"1116","Faz15Jou","Nau03Jou",0.460992907801418
"1118","Faz15Jou","Oka79Reg",0.460992907801418
"1131","Faz15Jou","Sua80Jou",0.460992907801418
"1143","Gab11Jou","Ign15Dis",0.460992907801418
"1185","Gab99Qua","Ign15Dis",0.460992907801418
"1235","Gan06Eco","Luc14Eco",0.460992907801418
"1389","Gue95Urb","Luc14Eco",0.460992907801418
"1425","Gul12Age","Luc14Eco",0.460992907801418
"1453","Hol10Nat","Kam90Jou",0.460992907801418
"1458","Hol10Nat","LeG08Emp",0.460992907801418
"1488","Ign15Dis","Knu01Ame",0.460992907801418
"1490","Ign15Dis","Kru96Jou",0.460992907801418
"1501","Ign15Dis","Nau03Jou",0.460992907801418
"1503","Ign15Dis","Oka79Reg",0.460992907801418
"1516","Ign15Dis","Sua80Jou",0.460992907801418
"1548","Iye13Eur","Soo07Urb",0.460992907801418
"1562","Kam90Jou","Mir86Urb",0.460992907801418
"1638","Kra98Urb","She12Com",0.460992907801418
"1685","Kum14Jou","Nis08Jou",0.460992907801418
"1700","Kum14Jou","Ven13Oec",0.460992907801418
"1707","LeG08Emp","Mir86Urb",0.460992907801418
"1730","Li_16Wor","Luc14Eco",0.460992907801418
"1765","Luc14Eco","Par83Jou",0.460992907801418
"1772","Luc14Eco","Sch12Reg",0.460992907801418
"1830","Mir86Urb","Mor13Tow",0.460992907801418
"1840","Mir86Urb","Roz11Ame",0.460992907801418
"1886","Mor13Tex","Soo07Urb",0.460992907801418
"1931","Nis08Jou","Pen10Phy",0.460992907801418
"1937","Nis08Jou","She12Com",0.460992907801418
"2000","Pen10Phy","Ven13Oec",0.460992907801418
"2033","Ros80Jou","Ven13Oec",0.460992907801418
"20","Alp89Jou","Faz15Jou",0.50709219858156
"30","Alp89Jou","Ign15Dis",0.50709219858156
"229","Ara14Eco","Mod15Qua",0.50709219858156
"318","Ber12Cit","Cra05Con",0.50709219858156
"344","Ber12Cit","Luc14Eco",0.50709219858156
"415","Bla03Jou","Pop74Sov",0.50709219858156
"421","Bla03Jou","Son02Urb",0.50709219858156
"433","Bos08Reg","Cra05Con",0.50709219858156
"459","Bos08Reg","Luc14Eco",0.50709219858156
"489","Bra99Jou","Cra05Con",0.50709219858156
"515","Bra99Jou","Luc14Eco",0.50709219858156
"680","Cam90Jou","Mir86Urb",0.50709219858156
"757","Cra05Con","Dim09Urb",0.50709219858156
"843","Del04Con","Pop74Sov",0.50709219858156
"849","Del04Con","Son02Urb",0.50709219858156
"927","Dim09Urb","Luc14Eco",0.50709219858156
"1069","Ezz15Rev","Mod15Qua",0.50709219858156
"1102","Faz15Jou","Kam90Jou",0.50709219858156
"1107","Faz15Jou","LeG08Emp",0.50709219858156
"1155","Gab11Jou","Mir86Urb",0.50709219858156
"1197","Gab99Qua","Mir86Urb",0.50709219858156
"1487","Ign15Dis","Kam90Jou",0.50709219858156
"1492","Ign15Dis","LeG08Emp",0.50709219858156
"1540","Iye13Eur","Pop74Sov",0.50709219858156
"1546","Iye13Eur","Son02Urb",0.50709219858156
"1593","Knu01Ame","Mir86Urb",0.50709219858156
"1652","Kru96Jou","Mir86Urb",0.50709219858156
"1681","Kum14Jou","Mod15Qua",0.50709219858156
"1831","Mir86Urb","Nau03Jou",0.50709219858156
"1833","Mir86Urb","Oka79Reg",0.50709219858156
"1846","Mir86Urb","Sua80Jou",0.50709219858156
"1857","Mod15Qua","Pen10Phy",0.50709219858156
"1878","Mor13Tex","Pop74Sov",0.50709219858156
"1884","Mor13Tex","Son02Urb",0.50709219858156
"2034","Ros80Jou","XuZ09Urb",0.50709219858156
"4","Alp89Jou","Bat01Urb",0.553191489361702
"15","Alp89Jou","Del13Eur",0.553191489361702
"60","Alp89Jou","Soo07Urb",0.553191489361702
"148","And05Reg","Gan06Eco",0.553191489361702
"153","And05Reg","Gul12Age",0.553191489361702
"163","And05Reg","Li_16Wor",0.553191489361702
"213","Ara14Eco","Gue95Urb",0.553191489361702
"235","Ara14Eco","Par83Jou",0.553191489361702
"242","Ara14Eco","Sch12Reg",0.553191489361702
"278","Bat01Urb","Kam90Jou",0.553191489361702
"283","Bat01Urb","LeG08Emp",0.553191489361702
"372","Bla03Jou","Bre00Cyb",0.553191489361702
"387","Bla03Jou","Gan13Eco",0.553191489361702
"388","Bla03Jou","Gie10Jou",0.553191489361702
"392","Bla03Jou","Hol10Nat",0.553191489361702
"404","Bla03Jou","Man16Reg",0.553191489361702
"545","Bre00Cyb","Del04Con",0.553191489361702
"562","Bre00Cyb","Iye13Eur",0.553191489361702
"575","Bre00Cyb","Mor13Tex",0.553191489361702
"786","Cra05Con","Mor13Tow",0.553191489361702
"788","Cra05Con","Nis08Jou",0.553191489361702
"796","Cra05Con","Roz11Ame",0.553191489361702
"815","Del04Con","Gan13Eco",0.553191489361702
"816","Del04Con","Gie10Jou",0.553191489361702
"820","Del04Con","Hol10Nat",0.553191489361702
"832","Del04Con","Man16Reg",0.553191489361702
"872","Del13Eur","Kam90Jou",0.553191489361702
"877","Del13Eur","LeG08Emp",0.553191489361702
"1053","Ezz15Rev","Gue95Urb",0.553191489361702
"1075","Ezz15Rev","Par83Jou",0.553191489361702
"1082","Ezz15Rev","Sch12Reg",0.553191489361702
"1253","Gan06Eco","She12Com",0.553191489361702
"1267","Gan13Eco","Iye13Eur",0.553191489361702
"1280","Gan13Eco","Mor13Tex",0.553191489361702
"1306","Gie10Jou","Iye13Eur",0.553191489361702
"1319","Gie10Jou","Mor13Tex",0.553191489361702
"1386","Gue95Urb","Kum14Jou",0.553191489361702
"1392","Gue95Urb","Mir86Urb",0.553191489361702
"1401","Gue95Urb","Pen10Phy",0.553191489361702
"1443","Gul12Age","She12Com",0.553191489361702
"1452","Hol10Nat","Iye13Eur",0.553191489361702
"1461","Hol10Nat","Mal80Env",0.553191489361702
"1465","Hol10Nat","Mor13Tex",0.553191489361702
"1529","Iye13Eur","Man16Reg",0.553191489361702
"1580","Kam90Jou","Soo07Urb",0.553191489361702
"1687","Kum14Jou","Par83Jou",0.553191489361702
"1694","Kum14Jou","Sch12Reg",0.553191489361702
"1725","LeG08Emp","Soo07Urb",0.553191489361702
"1748","Li_16Wor","She12Com",0.553191489361702
"1761","Luc14Eco","Mor13Tow",0.553191489361702
"1763","Luc14Eco","Nis08Jou",0.553191489361702
"1771","Luc14Eco","Roz11Ame",0.553191489361702
"1794","Mal80Env","Ros80Jou",0.553191489361702
"1807","Man16Reg","Mor13Tex",0.553191489361702
"1834","Mir86Urb","Par83Jou",0.553191489361702
"1841","Mir86Urb","Sch12Reg",0.553191489361702
"1962","Par83Jou","Pen10Phy",0.553191489361702
"1994","Pen10Phy","Sch12Reg",0.553191489361702
"52","Alp89Jou","Pop74Sov",0.599290780141844
"58","Alp89Jou","Son02Urb",0.599290780141844
"130","And05Reg","Ber12Cit",0.599290780141844
"132","And05Reg","Bos08Reg",0.599290780141844
"133","And05Reg","Bra99Jou",0.599290780141844
"141","And05Reg","Dim09Urb",0.599290780141844
"362","Ber12Cit","She12Com",0.599290780141844
"416","Bla03Jou","Pum15Cyb",0.599290780141844
"477","Bos08Reg","She12Com",0.599290780141844
"533","Bra99Jou","She12Com",0.599290780141844
"651","Cam90Jou","Cra05Con",0.599290780141844
"677","Cam90Jou","Luc14Eco",0.599290780141844
"762","Cra05Con","Gab11Jou",0.599290780141844
"763","Cra05Con","Gab99Qua",0.599290780141844
"774","Cra05Con","Knu01Ame",0.599290780141844
"776","Cra05Con","Kru96Jou",0.599290780141844
"787","Cra05Con","Nau03Jou",0.599290780141844
"789","Cra05Con","Oka79Reg",0.599290780141844
"802","Cra05Con","Sua80Jou",0.599290780141844
"844","Del04Con","Pum15Cyb",0.599290780141844
"945","Dim09Urb","She12Com",0.599290780141844
"1097","Faz15Jou","Gue95Urb",0.599290780141844
"1119","Faz15Jou","Par83Jou",0.599290780141844
"1126","Faz15Jou","Sch12Reg",0.599290780141844
"1152","Gab11Jou","Luc14Eco",0.599290780141844
"1194","Gab99Qua","Luc14Eco",0.599290780141844
"1380","Gue95Urb","Ign15Dis",0.599290780141844
"1484","Hol10Nat","XuZ09Urb",0.599290780141844
"1504","Ign15Dis","Par83Jou",0.599290780141844
"1511","Ign15Dis","Sch12Reg",0.599290780141844
"1541","Iye13Eur","Pum15Cyb",0.599290780141844
"1572","Kam90Jou","Pop74Sov",0.599290780141844
"1578","Kam90Jou","Son02Urb",0.599290780141844
"1590","Knu01Ame","Luc14Eco",0.599290780141844
"1649","Kru96Jou","Luc14Eco",0.599290780141844
"1717","LeG08Emp","Pop74Sov",0.599290780141844
"1723","LeG08Emp","Son02Urb",0.599290780141844
"1762","Luc14Eco","Nau03Jou",0.599290780141844
"1764","Luc14Eco","Oka79Reg",0.599290780141844
"1777","Luc14Eco","Sua80Jou",0.599290780141844
"1879","Mor13Tex","Pum15Cyb",0.599290780141844
"3","Alp89Jou","Ara14Eco",0.645390070921986
"9","Alp89Jou","Bre00Cyb",0.645390070921986
"19","Alp89Jou","Ezz15Rev",0.645390070921986
"24","Alp89Jou","Gan13Eco",0.645390070921986
"25","Alp89Jou","Gie10Jou",0.645390070921986
"36","Alp89Jou","Kum14Jou",0.645390070921986
"41","Alp89Jou","Man16Reg",0.645390070921986
"51","Alp89Jou","Pen10Phy",0.645390070921986
"69","Ama14Int","Bla03Jou",0.645390070921986
"77","Ama14Int","Del04Con",0.645390070921986
"94","Ama14Int","Iye13Eur",0.645390070921986
"107","Ama14Int","Mor13Tex",0.645390070921986
"170","And05Reg","Mor13Tow",0.645390070921986
"180","And05Reg","Roz11Ame",0.645390070921986
"218","Ara14Eco","Kam90Jou",0.645390070921986
"223","Ara14Eco","LeG08Emp",0.645390070921986
"273","Bat01Urb","Gue95Urb",0.645390070921986
"295","Bat01Urb","Par83Jou",0.645390070921986
"302","Bat01Urb","Sch12Reg",0.645390070921986
"373","Bla03Jou","Bre15Int",0.645390070921986
"375","Bla03Jou","Cie16Mis",0.645390070921986
"380","Bla03Jou","Eec04The",0.645390070921986
"381","Bla03Jou","Ett87Env",0.645390070921986
"397","Bla03Jou","Kra98Urb",0.645390070921986
"563","Bre00Cyb","Kam90Jou",0.645390070921986
"568","Bre00Cyb","LeG08Emp",0.645390070921986
"599","Bre15Int","Del04Con",0.645390070921986
"616","Bre15Int","Iye13Eur",0.645390070921986
"629","Bre15Int","Mor13Tex",0.645390070921986
"704","Cie16Mis","Del04Con",0.645390070921986
"721","Cie16Mis","Iye13Eur",0.645390070921986
"734","Cie16Mis","Mor13Tex",0.645390070921986
"808","Del04Con","Eec04The",0.645390070921986
"809","Del04Con","Ett87Env",0.645390070921986
"825","Del04Con","Kra98Urb",0.645390070921986
"867","Del13Eur","Gue95Urb",0.645390070921986
"889","Del13Eur","Par83Jou",0.645390070921986
"896","Del13Eur","Sch12Reg",0.645390070921986
"966","Eec04The","Iye13Eur",0.645390070921986
"979","Eec04The","Mor13Tex",0.645390070921986
"1012","Ett87Env","Iye13Eur",0.645390070921986
"1025","Ett87Env","Mor13Tex",0.645390070921986
"1058","Ezz15Rev","Kam90Jou",0.645390070921986
"1063","Ezz15Rev","LeG08Emp",0.645390070921986
"1268","Gan13Eco","Kam90Jou",0.645390070921986
"1273","Gan13Eco","LeG08Emp",0.645390070921986
"1307","Gie10Jou","Kam90Jou",0.645390070921986
"1312","Gie10Jou","LeG08Emp",0.645390070921986
"1410","Gue95Urb","Soo07Urb",0.645390070921986
"1483","Hol10Nat","Ven13Oec",0.645390070921986
"1522","Iye13Eur","Kra98Urb",0.645390070921986
"1556","Kam90Jou","Kum14Jou",0.645390070921986
"1561","Kam90Jou","Man16Reg",0.645390070921986
"1571","Kam90Jou","Pen10Phy",0.645390070921986
"1625","Kra98Urb","Mor13Tex",0.645390070921986
"1675","Kum14Jou","LeG08Emp",0.645390070921986
"1706","LeG08Emp","Man16Reg",0.645390070921986
"1716","LeG08Emp","Pen10Phy",0.645390070921986
"1832","Mir86Urb","Nis08Jou",0.645390070921986
"1856","Mod15Qua","Par85Jou",0.645390070921986
"1902","Mor13Tow","She12Com",0.645390070921986
"1971","Par83Jou","Soo07Urb",0.645390070921986
"2037","Roz11Ame","She12Com",0.645390070921986
"2048","Sch12Reg","Soo07Urb",0.645390070921986
"53","Alp89Jou","Pum15Cyb",0.691489361702128
"136","And05Reg","Cam90Jou",0.691489361702128
"146","And05Reg","Gab11Jou",0.691489361702128
"147","And05Reg","Gab99Qua",0.691489361702128
"158","And05Reg","Knu01Ame",0.691489361702128
"160","And05Reg","Kru96Jou",0.691489361702128
"171","And05Reg","Nau03Jou",0.691489361702128
"173","And05Reg","Oka79Reg",0.691489361702128
"186","And05Reg","Sua80Jou",0.691489361702128
"695","Cam90Jou","She12Com",0.691489361702128
"1117","Faz15Jou","Nis08Jou",0.691489361702128
"1170","Gab11Jou","She12Com",0.691489361702128
"1212","Gab99Qua","She12Com",0.691489361702128
"1402","Gue95Urb","Pop74Sov",0.691489361702128
"1408","Gue95Urb","Son02Urb",0.691489361702128
"1464","Hol10Nat","Mod15Qua",0.691489361702128
"1502","Ign15Dis","Nis08Jou",0.691489361702128
"1573","Kam90Jou","Pum15Cyb",0.691489361702128
"1608","Knu01Ame","She12Com",0.691489361702128
"1667","Kru96Jou","She12Com",0.691489361702128
"1718","LeG08Emp","Pum15Cyb",0.691489361702128
"1920","Nau03Jou","She12Com",0.691489361702128
"1953","Oka79Reg","She12Com",0.691489361702128
"1963","Par83Jou","Pop74Sov",0.691489361702128
"1969","Par83Jou","Son02Urb",0.691489361702128
"1987","Par85Jou","Ven13Oec",0.691489361702128
"2006","Pop74Sov","Sch12Reg",0.691489361702128
"2046","Sch12Reg","Son02Urb",0.691489361702128
"2056","She12Com","Sua80Jou",0.691489361702128
"1","Alp89Jou","Ama14Int",0.737588652482269
"10","Alp89Jou","Bre15Int",0.737588652482269
"12","Alp89Jou","Cie16Mis",0.737588652482269
"17","Alp89Jou","Eec04The",0.737588652482269
"18","Alp89Jou","Ett87Env",0.737588652482269
"34","Alp89Jou","Kra98Urb",0.737588652482269
"95","Ama14Int","Kam90Jou",0.737588652482269
"100","Ama14Int","LeG08Emp",0.737588652482269
"154","And05Reg","Hol10Nat",0.737588652482269
"192","Ara14Eco","Bla03Jou",0.737588652482269
"200","Ara14Eco","Del04Con",0.737588652482269
"217","Ara14Eco","Iye13Eur",0.737588652482269
"230","Ara14Eco","Mor13Tex",0.737588652482269
"293","Bat01Urb","Nis08Jou",0.737588652482269
"382","Bla03Jou","Ezz15Rev",0.737588652482269
"386","Bla03Jou","Gan06Eco",0.737588652482269
"391","Bla03Jou","Gul12Age",0.737588652482269
"399","Bla03Jou","Kum14Jou",0.737588652482269
"401","Bla03Jou","Li_16Wor",0.737588652482269
"414","Bla03Jou","Pen10Phy",0.737588652482269
"558","Bre00Cyb","Gue95Urb",0.737588652482269
"580","Bre00Cyb","Par83Jou",0.737588652482269
"587","Bre00Cyb","Sch12Reg",0.737588652482269
"617","Bre15Int","Kam90Jou",0.737588652482269
"622","Bre15Int","LeG08Emp",0.737588652482269
"722","Cie16Mis","Kam90Jou",0.737588652482269
"727","Cie16Mis","LeG08Emp",0.737588652482269
"810","Del04Con","Ezz15Rev",0.737588652482269
"814","Del04Con","Gan06Eco",0.737588652482269
"819","Del04Con","Gul12Age",0.737588652482269
"827","Del04Con","Kum14Jou",0.737588652482269
