"","i","j","cosSim"
"155","Mal80Env","Gan06Eco",1
"156","Mal80Env","Soo07Urb",1
"157","Mal80Env","Bos08Reg",1
"158","Mal80Env","LeG08Emp",1
"159","Mal80Env","Nis08Jou",1
"160","Mal80Env","Dim09Urb",1
"161","Mal80Env","XuZ09Urb",1
"162","Mal80Env","Gie10Jou",1
"163","Mal80Env","Gon10Jou",1
"164","Mal80Env","Hol10Nat",1
"165","Mal80Env","Pen10Phy",1
"166","Mal80Env","Gab11Jou",1
"167","Mal80Env","Roz11Ame",1
"168","Mal80Env","Arr12Reg",1
"169","Mal80Env","Ber12Cit",1
"170","Mal80Env","Gul12Age",1
"171","Mal80Env","Sch12Reg",1
"172","Mal80Env","She12Com",1
"173","Mal80Env","Del13Eur",1
"174","Mal80Env","Gan13Eco",1
"175","Mal80Env","Iye13Eur",1
"176","Mal80Env","Mor13Tex",1
"177","Mal80Env","Mor13Tow",1
"178","Mal80Env","Ven13Oec",1
"179","Mal80Env","Ama14Int",1
"180","Mal80Env","Ara14Eco",1
"181","Mal80Env","Kum14Jou",1
"182","Mal80Env","Luc14Eco",1
"183","Mal80Env","Bre15Int",1
"184","Mal80Env","Ezz15Rev",1
"185","Mal80Env","Faz15Jou",1
"186","Mal80Env","Ign15Dis",1
"187","Mal80Env","Mod15Qua",1
"188","Mal80Env","Pum15Cyb",1
"189","Mal80Env","Cie16Mis",1
"190","Mal80Env","Li_16Wor",1
"191","Mal80Env","Man16Reg",1
"192","Mal80Env","Ziq16Asi",1
"193","Ros80Jou","Sua80Jou",1
"194","Ros80Jou","Par83Jou",1
"195","Ros80Jou","Par85Jou",1
"196","Ros80Jou","Mir86Urb",1
"197","Ros80Jou","Ett87Env",1
"198","Ros80Jou","Alp89Jou",1
"199","Ros80Jou","Cam90Jou",1
"200","Ros80Jou","Kam90Jou",1
"201","Ros80Jou","Gue95Urb",1
"202","Ros80Jou","Kru96Jou",1
"203","Ros80Jou","Kra98Urb",1
"204","Ros80Jou","Bra99Jou",1
