"","i","j","cosSim"
"646","Cam90Jou","Ven13Oec",0.963094086880712
"1847","Arr12Reg","Gul12Age",0.962893025142047
"1158","Bla03Jou","Eec04The",0.962853266315501
"1530","Bos08Reg","She12Com",0.96218213475292
"2074","Ara14Eco","Mod15Qua",0.962121381364158
"1656","XuZ09Urb","Arr12Reg",0.961849655195844
"1849","Arr12Reg","She12Com",0.961740996729013
"538","Ett87Env","Kum14Jou",0.961678311508154
"1204","Nau03Jou","Soo05Reg",0.961417062630507
"501","Ett87Env","Bre00Cyb",0.961208613907876
"1568","LeG08Emp","Mor13Tex",0.961009978921595
"1253","Del04Con","XuZ09Urb",0.960724960766722
"2061","Ama14Int","Ign15Dis",0.96070002178863
"564","Alp89Jou","Eec04The",0.960397594754693
"541","Ett87Env","Ezz15Rev",0.960308496340015
"1718","Gon10Jou","Sch12Reg",0.960287883177846
"1484","Soo07Urb","XuZ09Urb",0.960125505105003
"889","Bra99Jou","XuZ09Urb",0.959901118946681
"1681","Gie10Jou","Gon10Jou",0.959784722718193
"1343","And05Reg","Gul12Age",0.959669214729193
"364","Par83Jou","Kum14Jou",0.959299299277464
"1206","Nau03Jou","Soo07Urb",0.958926053702432
"759","Gue95Urb","Ezz15Rev",0.958398736710425
"1779","Pen10Phy","Mor13Tow",0.958323827169678
"1255","Del04Con","Gon10Jou",0.957684999909134
"1459","Gan06Eco","She12Com",0.957677814649112
"1890","Ber12Cit","Li_16Wor",0.957561599777785
"1491","Soo07Urb","Arr12Reg",0.957445909703403
"2009","Iye13Eur","Ziq16Asi",0.957217372356482
"1185","Bla03Jou","Ven13Oec",0.956940804496254
"1417","Soo05Reg","Roz11Ame",0.956937126547678
"1406","Soo05Reg","Soo07Urb",0.956478361898584
"1105","Knu01Ame","Mod15Qua",0.956333288500151
"2132","Mod15Qua","Cie16Mis",0.95632471578712
"1159","Bla03Jou","And05Reg",0.956320978169263
"1047","Bat01Urb","Iye13Eur",0.956013363182254
"1782","Pen10Phy","Ara14Eco",0.955727349180323
"1287","Eec04The","Soo05Reg",0.955593652767182
"1525","Bos08Reg","Roz11Ame",0.955589008112255
"888","Bra99Jou","Dim09Urb",0.955232864773473
"1292","Eec04The","Nis08Jou",0.955228248708195
"550","Alp89Jou","Cam90Jou",0.955097629331446
"316","Par83Jou","Par85Jou",0.955092700705222
"1170","Bla03Jou","Gon10Jou",0.954994726641305
"1254","Del04Con","Gie10Jou",0.954910521118845
"565","Alp89Jou","And05Reg",0.954584901017548
"2088","Kum14Jou","Li_16Wor",0.954262831437242
"797","Kru96Jou","Gul12Age",0.954213404660788
"1207","Nau03Jou","Bos08Reg",0.954202817118675
"322","Par83Jou","Gue95Urb",0.954197095624646
"1690","Gie10Jou","She12Com",0.95403805213134
"1067","Knu01Ame","Nau03Jou",0.953800921310203
"1200","Nau03Jou","Del04Con",0.953326920723743
"1941","She12Com","Ven13Oec",0.953041204960418
"618","Cam90Jou","Del04Con",0.953019738592174
"610","Cam90Jou","Bra99Jou",0.952928821861474
"576","Alp89Jou","Gon10Jou",0.952921455753739
"569","Alp89Jou","Soo07Urb",0.952877463330254
"2109","Bre15Int","Ziq16Asi",0.952824443955158
"1900","Gul12Age","Ven13Oec",0.952719341693964
"1486","Soo07Urb","Gon10Jou",0.952673971946592
"2000","Iye13Eur","Bre15Int",0.952440575903338
"1411","Soo05Reg","XuZ09Urb",0.952177010597592
"928","Gab99Qua","Eec04The",0.952176162989811
"1560","LeG08Emp","Arr12Reg",0.952173313525417
"947","Gab99Qua","Gul12Age",0.951911618681052
"1482","Soo07Urb","Nis08Jou",0.951852627473567
"1409","Soo05Reg","Nis08Jou",0.951817268624952
"1175","Bla03Jou","Arr12Reg",0.951807827983822
"580","Alp89Jou","Roz11Ame",0.951724138514228
"318","Par83Jou","Ett87Env",0.950949577347583
"1489","Soo07Urb","Gab11Jou",0.950619781687292
"1526","Bos08Reg","Arr12Reg",0.950164772439457
"1218","Nau03Jou","Arr12Reg",0.949868441256182
"1601","Nis08Jou","Mor13Tex",0.94957301321323
"1017","Bre00Cyb","Ziq16Asi",0.949226715507452
"623","Cam90Jou","Gan06Eco",0.94917779029053
"1595","Nis08Jou","Gul12Age",0.948987460705989
"1212","Nau03Jou","Gie10Jou",0.948872943417622
"1969","Del13Eur","Mod15Qua",0.94875742261976
"1449","Gan06Eco","Gie10Jou",0.948683298050514
"1000","Bre00Cyb","Iye13Eur",0.948342528352822
"1416","Soo05Reg","Gab11Jou",0.948208007464101
"1213","Nau03Jou","Gon10Jou",0.947855359513155
"1230","Nau03Jou","Ara14Eco",0.947697283352129
"561","Alp89Jou","Bla03Jou",0.947666311669062
"1565","LeG08Emp","Del13Eur",0.94759719469561
"2082","Kum14Jou","Ezz15Rev",0.947330933431342
"1439","Soo05Reg","Cie16Mis",0.947046224702964
"1090","Knu01Ame","She12Com",0.946741503964161
"1107","Knu01Ame","Cie16Mis",0.946715073320275
"1650","XuZ09Urb","Gie10Jou",0.946494867689314
"2056","Ama14Int","Kum14Jou",0.946457414634764
"1824","Roz11Ame","Sch12Reg",0.946386554567593
"1304","Eec04The","Sch12Reg",0.946221593006099
"1658","XuZ09Urb","Gul12Age",0.946183754286978
"1688","Gie10Jou","Gul12Age",0.94575472667253
"1719","Gon10Jou","She12Com",0.945748255475301
"1633","Dim09Urb","Mor13Tex",0.94540671026514
"1244","Del04Con","And05Reg",0.945134211558351
"891","Bra99Jou","Gon10Jou",0.945042653541835
"48","Pop74Sov","Iye13Eur",0.945014071061114
"1893","Gul12Age","Sch12Reg",0.944962957059833
"240","Ros80Jou","Ven13Oec",0.944923196574887
"805","Kru96Jou","Ven13Oec",0.94475498594666
"1013","Bre00Cyb","Pum15Cyb",0.944392115920939
"1164","Bla03Jou","Bos08Reg",0.944370081019778
"1053","Bat01Urb","Kum14Jou",0.944327777646719
"970","Bre00Cyb","Bat01Urb",0.944236407963672
"765","Gue95Urb","Li_16Wor",0.944151076259269
"933","Gab99Qua","Soo07Urb",0.944108315162771
"1444","Gan06Eco","Bos08Reg",0.943664098343224
"202","Ros80Jou","Kru96Jou",0.943564195120496
"758","Gue95Urb","Bre15Int",0.943520357415531
"1370","Cra05Con","LeG08Emp",0.943456353049727
"435","Mir86Urb","Ett87Env",0.943375120314946
"890","Bra99Jou","Gie10Jou",0.943361590922053
"2097","Luc14Eco","Cie16Mis",0.943242218283799
"1243","Del04Con","Eec04The",0.943015516572918
"1303","Eec04The","Gul12Age",0.942825547198115
"1205","Nau03Jou","Gan06Eco",0.942261494709449
"69","Oka79Reg","Par83Jou",0.942227599009596
"1740","Hol10Nat","Pen10Phy",0.942207568448066
"1405","Soo05Reg","Gan06Eco",0.942137544474988
"1588","Nis08Jou","Gon10Jou",0.942040870364172
"954","Gab99Qua","Mor13Tow",0.94201399205029
"1659","XuZ09Urb","Sch12Reg",0.941860593308728
"1826","Roz11Ame","Del13Eur",0.941841718283376
"1180","Bla03Jou","Del13Eur",0.941505263290663
"432","Par85Jou","Li_16Wor",0.941199985399668
"1161","Bla03Jou","Soo05Reg",0.94119693590336
"1194","Bla03Jou","Mod15Qua",0.941113326999512
"1421","Soo05Reg","Sch12Reg",0.941109607505752
"877","Bra99Jou","Nau03Jou",0.940933816698539
"547","Ett87Env","Li_16Wor",0.940784401554665
"1311","Eec04The","Ven13Oec",0.940640165827841
"1072","Knu01Ame","Soo05Reg",0.94043856354319
"1916","Sch12Reg","Del13Eur",0.940222454975514
"1520","Bos08Reg","Gie10Jou",0.940160724505224
"1351","And05Reg","Ven13Oec",0.940102148135863
"2105","Bre15Int","Pum15Cyb",0.940078681298278
"1493","Soo07Urb","Gul12Age",0.94000578065241
"1058","Bat01Urb","Ign15Dis",0.939615632909389
"1766","Hol10Nat","Man16Reg",0.939296077589418
"1139","Son02Urb","Mor13Tex",0.938962925863843
"1178","Bla03Jou","Sch12Reg",0.938874353055243
"1823","Roz11Ame","Gul12Age",0.938800910874647
"756","Gue95Urb","Kum14Jou",0.938772446492602
"568","Alp89Jou","Gan06Eco",0.938590635448906
"688","Kam90Jou","Gab11Jou",0.938267119070132
"127","Oka79Reg","Li_16Wor",0.938233281301002
"1066","Knu01Ame","Bla03Jou",0.938108686631485
"1628","Dim09Urb","Sch12Reg",0.938063108707123
"880","Bra99Jou","And05Reg",0.938055410297084
"906","Bra99Jou","Ven13Oec",0.93792863217744
"1853","Arr12Reg","Mor13Tex",0.937802800305044
"1264","Del04Con","She12Com",0.937692311239784
"1831","Roz11Ame","Ven13Oec",0.93769187219939
"1850","Arr12Reg","Del13Eur",0.93764930996722
"1647","Dim09Urb","Li_16Wor",0.93752658067814
"936","Gab99Qua","Nis08Jou",0.937355786581037
"1570","LeG08Emp","Ven13Oec",0.937101999196431
"720","Gue95Urb","Bat01Urb",0.937020608696198
"1165","Bla03Jou","LeG08Emp",0.936948366755306
"879","Bra99Jou","Eec04The",0.936426795059949
"931","Gab99Qua","Soo05Reg",0.936221140109521
"968","Gab99Qua","Man16Reg",0.935949692394065
"1684","Gie10Jou","Gab11Jou",0.935692377043008
"900","Bra99Jou","She12Com",0.935557749821653
"536","Ett87Env","Ama14Int",0.93537062367307
"352","Par83Jou","Ber12Cit",0.935259100627889
"479","Mir86Urb","Ama14Int",0.935205742859627
"944","Gab99Qua","Roz11Ame",0.934883266049896
"1177","Bla03Jou","Gul12Age",0.934826856852761
"1169","Bla03Jou","Gie10Jou",0.934323305010996
"1454","Gan06Eco","Roz11Ame",0.934089081074452
"942","Gab99Qua","Pen10Phy",0.934058966575781
"1551","LeG08Emp","Nis08Jou",0.934022071938509
"1064","Bat01Urb","Ziq16Asi",0.934019884555459
"1769","Pen10Phy","Roz11Ame",0.933785421873137
"1220","Nau03Jou","Gul12Age",0.933652791352696
"1592","Nis08Jou","Roz11Ame",0.933513597646911
"1855","Arr12Reg","Ven13Oec",0.933241940306985
"1085","Knu01Ame","Roz11Ame",0.932836767329345
"1122","Son02Urb","Nis08Jou",0.932643143074152
"1536","Bos08Reg","Ven13Oec",0.932590618895845
"439","Mir86Urb","Gue95Urb",0.932391998415729
"898","Bra99Jou","Gul12Age",0.932189540252271
"1810","Gab11Jou","Luc14Eco",0.932134408082802
"939","Gab99Qua","Gie10Jou",0.932047160784614
"1251","Del04Con","Nis08Jou",0.931814643574921
"1134","Son02Urb","Sch12Reg",0.931780073040562
"1281","Del04Con","Cie16Mis",0.931756520109174
"1187","Bla03Jou","Ara14Eco",0.931753871899472
"915","Bra99Jou","Mod15Qua",0.931711598321547
"887","Bra99Jou","Nis08Jou",0.931378090918337
"611","Cam90Jou","Gab99Qua",0.93132711998053
"1691","Gie10Jou","Del13Eur",0.931062998340234
"882","Bra99Jou","Soo05Reg",0.930604935266606
"626","Cam90Jou","LeG08Emp",0.930587626088357
"1163","Bla03Jou","Soo07Urb",0.930492780268611
"1771","Pen10Phy","Ber12Cit",0.930361802689358
"1215","Nau03Jou","Pen10Phy",0.930278048456239
"1915","Sch12Reg","She12Com",0.929619194579393
"1921","Sch12Reg","Ven13Oec",0.92957413881313
"1246","Del04Con","Soo05Reg",0.929355364746908
"1562","LeG08Emp","Gul12Age",0.929275003636276
"358","Par83Jou","Iye13Eur",0.928977881207733
"1279","Del04Con","Mod15Qua",0.928946186840071
"946","Gab99Qua","Ber12Cit",0.928698438132995
"1529","Bos08Reg","Sch12Reg",0.928494978361569
"444","Mir86Urb","Bre00Cyb",0.92841425345632
"1448","Gan06Eco","XuZ09Urb",0.928408942418436
"955","Gab99Qua","Ven13Oec",0.928118753641014
"1079","Knu01Ame","XuZ09Urb",0.927603554148392
"1299","Eec04The","Gab11Jou",0.92732144728225
"866","Kra98Urb","Pum15Cyb",0.92721877679066
"2001","Iye13Eur","Ezz15Rev",0.927116721487804
"917","Bra99Jou","Cie16Mis",0.926709499660093
"949","Gab99Qua","She12Com",0.926679072794609
"591","Alp89Jou","Ven13Oec",0.926612473902923
"2076","Ara14Eco","Cie16Mis",0.926414871483928
"1641","Dim09Urb","Ezz15Rev",0.926198217043686
"426","Par85Jou","Ezz15Rev",0.926148797701295
"1597","Nis08Jou","She12Com",0.925569832536053
"17","Pop74Sov","Bre00Cyb",0.925470403782825
"1943","She12Com","Ara14Eco",0.925453368288301
"222","Ros80Jou","Dim09Urb",0.92532249484005
"1455","Gan06Eco","Arr12Reg",0.924778146941033
"1774","Pen10Phy","She12Com",0.924734117634869
"763","Gue95Urb","Pum15Cyb",0.924634790038475
"1494","Soo07Urb","Sch12Reg",0.924413109580899
"945","Gab99Qua","Arr12Reg",0.924350137558741
"831","Kra98Urb","Cra05Con",0.924348530944369
"1725","Gon10Jou","Ven13Oec",0.924313348755946
"2117","Ezz15Rev","Ziq16Asi",0.924222479773256
"445","Mir86Urb","Bat01Urb",0.923791098790813
"1087","Knu01Ame","Ber12Cit",0.923771179279745
"343","Par83Jou","Dim09Urb",0.923616861927948
"1252","Del04Con","Dim09Urb",0.923351624668779
"220","Ros80Jou","LeG08Emp",0.923192330750644
"317","Par83Jou","Mir86Urb",0.923132569085179
"1393","Cra05Con","Kum14Jou",0.923076923076923
"1833","Roz11Ame","Ara14Eco",0.923024524014065
"1842","Roz11Ame","Cie16Mis",0.922600514764955
"1800","Gab11Jou","She12Com",0.922385342485865
"1239","Nau03Jou","Cie16Mis",0.922287977930701
"1870","Ber12Cit","Gul12Age",0.92188996796744
"1559","LeG08Emp","Roz11Ame",0.921880848076814
"1228","Nau03Jou","Ven13Oec",0.921642068278333
"1630","Dim09Urb","Del13Eur",0.921635375138065
"1998","Iye13Eur","Kum14Jou",0.921609891054
"1446","Gan06Eco","Nis08Jou",0.921132372943677
"1840","Roz11Ame","Mod15Qua",0.921114032794522
"540","Ett87Env","Bre15Int",0.920886835854697
"1088","Knu01Ame","Gul12Age",0.920644421140336
"817","Kru96Jou","Li_16Wor",0.920553007911867
"238","Ros80Jou","Mor13Tex",0.920441427037547
"811","Kru96Jou","Ezz15Rev",0.920279077371051
"1423","Soo05Reg","Del13Eur",0.919978343906369
"929","Gab99Qua","And05Reg",0.919712398671405
"1553","LeG08Emp","XuZ09Urb",0.919525370563795
"1339","And05Reg","Gab11Jou",0.91949069875245
"1789","Pen10Phy","Mod15Qua",0.919263744262017
"1223","Nau03Jou","Del13Eur",0.919149059274608
"1428","Soo05Reg","Ven13Oec",0.919145030018058
"1586","Nis08Jou","XuZ09Urb",0.91900749728098
"1768","Pen10Phy","Gab11Jou",0.918991514236916
"1554","LeG08Emp","Gie10Jou",0.918785659619768
"1501","Soo07Urb","Ven13Oec",0.918550891349514
"1517","Bos08Reg","Nis08Jou",0.918309524774944
"938","Gab99Qua","XuZ09Urb",0.918301516257236
"1996","Iye13Eur","Ama14Int",0.91817317346189
"1752","Hol10Nat","Mor13Tow",0.918140972461222
"1249","Del04Con","Bos08Reg",0.917992158583199
"144","Mal80Env","Bre00Cyb",0.917950092082905
"1237","Nau03Jou","Mod15Qua",0.917381392180024
"904","Bra99Jou","Mor13Tex",0.916987627330357
"716","Gue95Urb","Kra98Urb",0.916840779484297
"1298","Eec04The","Pen10Phy",0.916589830205256
"1221","Nau03Jou","Sch12Reg",0.916423240539902
"1450","Gan06Eco","Gon10Jou",0.916396674886064
"1121","Son02Urb","LeG08Emp",0.916341933823035
"1911","Gul12Age","Cie16Mis",0.916341933823035
"1216","Nau03Jou","Gab11Jou",0.916223912918658
"441","Mir86Urb","Kra98Urb",0.915916078513284
"453","Mir86Urb","Cra05Con",0.915810939779251
"704","Kam90Jou","Luc14Eco",0.91569791623482
"941","Gab99Qua","Hol10Nat",0.915389176326141
"1262","Del04Con","Gul12Age",0.915187625057152
"1668","XuZ09Urb","Ara14Eco",0.915092938148076
